date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-12-29_04-13-55,seq,8000k,10,1,yuiha,176196,256424,80228,443261542.400000
2024-12-29_04-13-00,seq,8000k,10,2,yuiha,176196,216304,40108,953102131.200000
2024-12-29_04-12-02,seq,8000k,10,4,yuiha,176196,200256,24060,1243220377.600000
2024-12-29_04-11-00,seq,8000k,10,200,yuiha,176196,184208,8012,1719664640.000000
2024-12-29_04-09-13,seq,16000k,10,1,yuiha,176196,336572,160376,432108851.200000
2024-12-29_04-08-05,seq,16000k,10,2,yuiha,176196,256376,80180,953305907.200000
2024-12-29_04-07-05,seq,16000k,10,4,yuiha,176196,224296,48100,1309472870.400000
2024-12-29_04-05-35,seq,16000k,10,200,yuiha,176196,192216,16020,1812871168.000000
2024-12-29_04-04-24,seq,32000k,10,1,yuiha,176196,496872,320676,436594380.800000
2024-12-29_04-03-04,seq,32000k,10,2,yuiha,176196,336520,160324,1015826636.800000
2024-12-29_04-01-10,seq,32000k,10,4,yuiha,176196,272376,96180,1386516889.600000
2024-12-29_04-00-01,seq,32000k,10,200,yuiha,176196,208232,32036,1986125926.400000
2024-12-29_03-58-32,seq,64000k,10,1,yuiha,176196,817488,641292,442483609.600000
2024-12-29_03-57-24,seq,64000k,10,2,yuiha,176196,496804,320608,1020623052.800000
2024-12-29_03-56-16,seq,64000k,10,4,yuiha,176196,368536,192340,1409693184.000000
2024-12-29_03-54-30,seq,64000k,10,200,yuiha,176196,240264,64068,2033975398.400000
