procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1      0 7615800   3232  53840    0    0  1832  3035  341  351  1  3 94  3
 1  0      0 7615308    352  48444    0    0  4908  1880 1609 1661  1  3 94  2
 0  0      0 7615712    360  48408    0    0  3224  1740  961 1572  1  3 95  1
 0  0      0 7615488    364  48328    0    0  3520  1780  958 1604  1  3 95  0
 0  0      0 7615964    364  48440    0    0  3552  1804 1028 1565  1  2 95  1
 1  0      0 7615624    408  49060    0    0  3248  1380  942 1504  0  3 96  1
 2  0      0 7615408    384  48952    0    0  3524  1820 1008 1668  0  4 93  2
 0  0      0 7615896    376  48472    0    0  3000  1800  946 1575  1  3 94  1
 0  0      0 7615688    368  48412    0    0  3536  1776  976 1611  1  3 94  1
 0  0      0 7615688    380  48388    0    0  3552  1812 1041 1777  1  4 94  1
 1  0      0 7616680    356  48020    0    0  3516  1372  910 1570  0  3 95  1
 0  0      0 7615944    380  48336    0    0  2708  1784  938 1621  1  3 95  1
 0  0      0 7607716    368  56500    0    0  3564  1812 7262 2241  1  6 89  4
 1  0      0 7597804    384  64740    0    0  2736  1352 8546 1922  1  4 90  5
 0  0      0 7598868    384  64760    0    0  3528  1804  980 1648  1  4 95  0
 0  0      0 7599328    372  64764    0    0  3548  1808 1052 1801  1  3 94  2
 1  0      0 7599600    360  64784    0    0  3508  1372  934 1562  1  3 94  1
 0  0      0 7599468    380  64636    0    0  2760  1816  876 1544  0  3 96  1
 0  0      0 7599804    376  64688    0    0  3560  1780  976 1661  1  4 94  1
 0  0      0 7600028    376  64696    0    0  3544  1804  950 1547  1  3 95  1
 1  0      0 7599176    404  65000    0    0  2652  1396  812 1338  0  2 96  2
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 7599756    376  64788    0    0  3560  1772  921 1546  0  5 94  1
 0  0      0 7599616    376  64644    0    0  2688  1352  858 1345  1  3 95  1
 0  0      0 7598996    408  64888    0    0  2664  1356  799 1289  1  2 96  1
 0  0      0 7588760    408  73148    0    0  4508  1376 6432 1659  0  4 92  4
 0  0      0 7589984    392  73080    0    0  2836  1360 1874 1374  1  4 94  1
 0  0      0 7590448    388  72964    0    0  3524  1780  950 1520  1  3 94  2
 2  1      0 7590836    384  73052    0    0  2680  1372 1011 1466  0  3 96  1
