procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1      0 7616384   3204  53140    0    0  2267  3208  351  379  1  3 94  2
 0  0      0 7615532    364  48512    0    0  3956  1876 1331 1492  1  3 95  2
 0  0      0 7615824    380  48516    0    0  3244  1364  915 1357  1  2 96  1
 0  0      0 7615716    376  48380    0    0  3480  1788  965 1524  1  3 94  1
 1  0      0 7615608    408  48408    0    0  2680  1380  824 1325  0  3 96  1
 0  0      0 7615468    404  48344    0    0  2732  1404  847 1387  0  3 96  1
 1  0      0 7616632    364  47896    0    0  3436  1376  918 1473  0  3 95  2
 0  0      0 7615988    396  48340    0    0  2720  1812  899 1411  0  3 96  1
 0  0      0 7615864    396  48376    0    0  2656  1404  859 1344  1  3 96  1
 0  0      0 7615996    388  48388    0    0  3560  1808  977 1531  0  4 95  1
 0  0      0 7607628    392  56664    0    0  2692  1372 8128 2438  0  4 93  3
 1  0      0 7607624    396  56600    0    0  2676  1376  818 1358  0  3 96  1
 0  0      0 7607648    396  56608    0    0  2676  1404  832 1373  0  3 96  0
 1  0      0 7607400    396  56904    0    0  3092  1384  860 1405  0  3 96  1
 0  0      0 7607284    388  56580    0    0  4928  1832 1405 1533  1  3 95  1
 0  0      0 7599344    392  64916    0    0  2672  1348 7290 2109  0  5 90  4
 0  0      0 7599752    388  64912    0    0  2692  1412  844 1397  1  3 96  0
 1  0      0 7599272    376  64360    0    0  3648  1376  955 1517  0  3 96  1
 1  0      0 7599264    384  64784    0    0  2696  1808  892 1422  1  3 95  1
 0  0      0 7599552    384  64760    0    0  2684  1376  826 1334  0  3 96  1
 0  1      0 7599484    392  64880    0    0  1828   916  793  936  0  2 86 11
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  1      0 7599484    408  64840    0    0    16     0   60  120  0  0 74 26
 0  1      0 7599628    408  64844    0    0     0     0   65  130  0  0 75 25
 0  1      0 7599660    408  64984    0    0     0     0   75  154  0  0 75 25
 2  1      0 7599660    408  64984    0    0     0     0   62  125  0  0 75 25
 0  0      0 7599472    444  64692    0    0   920   484  528  581  0  1 85 14
 0  0      0 7599472    388  64980    0    0  2624  1376  781 1276  0  3 96  1
 0  0      0 7598992    388  64712    0    0  2644  1376  789 1267  0  3 96  1
 1  0      0 7599496    384  65128    0    0  2864  1384  826 1315  0  2 96  1
 0  0      0 7599628    384  64748    0    0  3736  1804 1051 1521  0  3 95  2
 0  0      0 7599644    388  64840    0    0  2668  1404  800 1274  0  3 96  0
 1  0      0 7599504    408  64796    0    0  2796  1404  833 1300  0  3 96  1
 0  0      0 7599592    392  64808    0    0  4496  1376 1214 1395  1  2 96  1
 0  0      0 7599708    444  64756    0    0  2900  1348  858 1342  0  3 96  1
 0  0      0 7599604    404  64864    0    0  2732  1376 1000 1373  0  3 96  0
 0  0      0 7599792    400  64796    0    0  2660  1376  795 1326  0  3 96  0
 0  0      0 7599692    408  64780    0    0  2660  1372  811 1287  0  3 96  0
