Q,55168,8,4096
Q,55176,8,4096
Q,55184,8,4096
Q,1871560,416,212992
Q,2842496,232,118784
Q,2842752,216,110592
Q,3532400,8,4096
Q,4065752,144,73728
Q,12353024,256,131072
Q,55192,8,4096
Q,55200,8,4096
Q,55208,8,4096
Q,55216,8,4096
Q,55224,8,4096
Q,55232,8,4096
Q,1095680,128,65536
Q,1871976,8,4096
Q,8,8,4096
Q,1363552,8,4096
Q,12320768,8,4096
Q,12353280,8,4096
Q,12353288,8,4096
Q,12353296,8,4096
Q,12353304,8,4096
Q,12353312,8,4096
Q,12353320,8,4096
Q,12353328,8,4096
Q,12353336,8,4096
Q,12353344,8,4096
Q,12353352,8,4096
Q,12353360,8,4096
Q,12353368,8,4096
Q,12353376,8,4096
Q,12353384,8,4096
Q,12353392,8,4096
Q,12353400,8,4096
Q,12353408,8,4096
Q,12353416,8,4096
Q,12353424,8,4096
Q,12353432,8,4096
Q,12353440,8,4096
Q,12353448,8,4096
Q,12353456,8,4096
Q,12353464,8,4096
Q,12353472,8,4096
Q,1862672,8,4096
Q,12353480,8,4096
Q,12353488,8,4096
Q,12353496,8,4096
Q,1862912,8,4096
Q,12353504,8,4096
Q,12353512,8,4096
Q,1863424,8,4096
Q,12353520,8,4096
Q,12353528,8,4096
Q,55240,8,4096
Q,55248,8,4096
Q,55256,8,4096
Q,55264,8,4096
Q,55272,8,4096
Q,1871984,408,208896
Q,55280,8,4096
Q,2010880,4064,2080768
Q,2014944,2080,1064960
Q,2017024,1208,618496
Q,2027264,4080,2088960
Q,2031344,272,139264
Q,1982464,4072,2084864
Q,1986536,4096,2097152
Q,1990632,2712,1388544
Q,2043136,1944,995328
Q,2288504,8,4096
Q,2288624,8,4096
Q,2299464,8,4096
Q,2300424,8,4096
Q,2300552,8,4096
Q,2391168,4056,2076672
Q,2395224,4096,2097152
Q,2399320,4088,2093056
Q,2403408,4088,2093056
Q,2407496,824,421888
Q,2411136,4072,2084864
Q,2415208,4088,2093056
Q,2419296,4096,2097152
Q,2423392,1440,737280
Q,2473984,2688,1376256
Q,2438656,4064,2080768
Q,2442720,4096,2097152
Q,2446816,4064,2080768
Q,2450880,4096,2097152
Q,2454976,4072,2084864
Q,2459048,4088,2093056
Q,2463136,1352,692224
Q,2493568,2048,1048576
Q,2495616,112,57344
Q,2583680,4088,2093056
Q,2587768,4088,2093056
Q,2591856,4096,2097152
Q,2595952,3088,1581056
Q,2604160,1024,524288
Q,2706672,16,8192
Q,2811648,1776,909312
Q,2828288,256,131072
Q,2882432,128,65536
Q,2911744,128,65536
Q,3383080,24,12288
Q,3383128,16,8192
Q,3573520,8,4096
Q,3573536,16,8192
Q,3573560,8,4096
Q,3573576,24,12288
Q,3573616,16,8192
Q,4065448,8,4096
Q,4065896,16,8192
Q,4301080,8,4096
Q,4301104,8,4096
Q,4301848,8,4096
Q,4353112,8,4096
Q,4353416,8,4096
Q,4387568,8,4096
Q,4392952,8,4096
Q,4484736,4088,2093056
Q,4488824,4072,2084864
Q,4492896,4072,2084864
Q,4496968,3768,1929216
Q,4508416,4056,2076672
Q,4512472,168,86016
Q,4521088,4072,2084864
Q,4525160,280,143360
Q,4590720,4056,2076672
Q,4594776,4088,2093056
Q,4598864,48,24576
Q,5033984,4080,2088960
Q,5038064,1424,729088
Q,5041664,4048,2072576
Q,5045712,4064,2080768
Q,5049776,2768,1417216
Q,12312840,8,4096
Q,12312872,8,4096
Q,12312888,8,4096
Q,12312928,8,4096
Q,12312960,8,4096
Q,12312992,8,4096
Q,12313032,8,4096
Q,12313056,8,4096
Q,12280336,8,4096
Q,12280448,8,4096
Q,12280552,16,8192
Q,12280584,8,4096
Q,12280656,8,4096
Q,12280752,8,4096
Q,12280776,8,4096
Q,12280792,8,4096
Q,12280888,8,4096
Q,12280952,8,4096
Q,12280968,8,4096
Q,12281072,8,4096
Q,12281104,8,4096
Q,12281328,8,4096
Q,12281408,8,4096
Q,12281448,8,4096
Q,12281480,8,4096
Q,12281496,8,4096
Q,12281800,16,8192
Q,12281864,8,4096
Q,12281888,8,4096
Q,12281904,8,4096
Q,12281944,8,4096
Q,12281968,8,4096
Q,12282136,8,4096
Q,12282272,8,4096
Q,12282360,8,4096
Q,12282416,8,4096
Q,12282656,8,4096
Q,12282680,8,4096
Q,12282784,24,12288
Q,12282904,8,4096
Q,12282928,8,4096
Q,12283080,8,4096
Q,12283120,8,4096
Q,12283376,8,4096
Q,12283456,8,4096
Q,12283520,8,4096
Q,12283544,8,4096
Q,12283640,8,4096
Q,12283768,8,4096
Q,12283896,8,4096
Q,12284152,8,4096
Q,12284280,8,4096
Q,12284328,8,4096
Q,12284392,8,4096
Q,12284432,8,4096
Q,12284448,16,8192
Q,12284552,16,8192
Q,12284576,8,4096
Q,12284608,8,4096
Q,12284624,8,4096
Q,12284672,16,8192
Q,12284816,8,4096
Q,12284960,8,4096
Q,12285272,8,4096
Q,12285288,8,4096
Q,12285400,16,8192
Q,12285488,8,4096
Q,12285504,8,4096
Q,12285584,8,4096
Q,12285696,8,4096
Q,12285816,8,4096
Q,12285928,8,4096
Q,12285960,8,4096
Q,12286112,8,4096
Q,12286216,8,4096
Q,12286256,8,4096
Q,12286312,16,8192
Q,12286336,8,4096
Q,12286400,16,8192
Q,12286432,8,4096
Q,12286448,8,4096
Q,12286496,8,4096
Q,12286584,8,4096
Q,12286640,8,4096
Q,12287032,8,4096
Q,12287240,8,4096
Q,12287384,8,4096
Q,12287464,8,4096
Q,12287488,8,4096
Q,12287568,8,4096
Q,12287592,16,8192
Q,12287624,8,4096
Q,12287704,8,4096
Q,12288368,8,4096
Q,12288456,8,4096
Q,12288552,40,20480
Q,12288648,8,4096
Q,12288696,8,4096
Q,12288768,8,4096
Q,5741216,8,4096
Q,12351872,24,12288
Q,12351944,40,20480
Q,12352008,48,24576
Q,12352080,8,4096
Q,12352104,8,4096
Q,12352608,8,4096
Q,12352912,16,8192
Q,12352960,16,8192
Q,12352992,8,4096
Q,12353008,16,8192
Q,9388928,512,262144
Q,9389696,1024,524288
Q,9391488,128,65536
Q,9391872,256,131072
Q,9392384,3896,1994752
Q,9396280,3952,2023424
Q,9400232,472,241664
Q,9401984,1280,655360
Q,9404416,2048,1048576
Q,9414016,768,393216
Q,9417344,1280,655360
Q,9422720,640,327680
Q,9425408,128,65536
Q,9434408,8,4096
Q,9462416,8,4096
Q,9472632,3720,1904640
Q,9476608,1280,655360
Q,9478528,1024,524288
Q,9481472,512,262144
Q,9485312,1600,819200
Q,9488128,128,65536
Q,9488384,4072,2084864
Q,9492456,3736,1912832
Q,9496576,4096,2097152
Q,9500672,1536,786432
Q,9507072,2816,1441792
Q,9571200,4064,2080768
Q,9575264,1056,540672
Q,9577472,4072,2084864
Q,9581544,3480,1781760
Q,9612544,480,245760
Q,11027832,8,4096
Q,11027848,8,4096
Q,11027864,8,4096
Q,1095680,128,65536
Q,1872392,8,4096
Q,4065912,520,266240
Q,9472768,264,135168
Q,9473280,400,204800
Q,9473792,1776,909312
Q,9475840,512,262144
Q,9476608,112,57344
Q,9476864,160,81920
Q,9487104,896,458752
Q,9488128,128,65536
Q,9488384,632,323584
Q,9492352,3048,1560576
Q,9496832,2424,1241088
Q,9571200,4064,2080768
Q,9575264,1056,540672
Q,9577472,3072,1572864
Q,4066432,144,73728
Q,9499392,416,212992
Q,9500928,1280,655360
Q,9507072,1416,724992
Q,55288,8,4096
Q,55296,8,4096
Q,55304,8,4096
Q,1872400,160,81920
Q,3788928,400,204800
Q,4066576,568,290816
Q,9434424,32,16384
Q,9475584,216,110592
Q,9489024,176,90112
Q,9489280,328,167936
Q,9489792,368,188416
Q,9490304,1168,598016
Q,9491584,216,110592
Q,9491840,320,163840
Q,9495424,704,360448
Q,9496576,208,106496
Q,9499904,288,147456
Q,9500416,464,237568
Q,9508608,216,110592
Q,9508864,688,352256
Q,9509632,176,90112
Q,9580544,376,192512
Q,9581056,264,135168
Q,9613184,984,503808
Q,1872560,8,4096
Q,1872568,264,135168
Q,4067144,600,307200
Q,9434456,88,45056
Q,9581568,208,106496
Q,9614208,520,266240
Q,9614976,136,69632
Q,9615232,896,458752
Q,9617024,16,8192
Q,9617152,4048,2072576
Q,9621200,960,491520
Q,9622272,376,192512
Q,9622784,376,192512
Q,9623296,1512,774144
Q,9624832,272,139264
Q,9625344,1864,954368
