date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-07-26_15-16-25,append,200KB,100,1,yuiha,192248,213588,21340,
2024-07-26_15-16-25,append,200KB,100,2,yuiha,192248,212704,20456,
2024-07-26_15-16-25,append,200KB,100,4,yuiha,192248,212236,19988,
2024-07-26_15-16-25,append,200KB,100,200,yuiha,192248,211804,19556,
2024-07-26_15-16-25,append,400KB,100,1,yuiha,192248,233196,40948,
2024-07-26_15-16-25,append,400KB,100,2,yuiha,192248,232296,40048,
2024-07-26_15-16-25,append,400KB,100,4,yuiha,192248,231820,39572,
2024-07-26_15-16-25,append,400KB,100,200,yuiha,192248,231356,39108,
2024-07-26_15-16-25,append,800KB,100,1,yuiha,192248,272280,80032,
2024-07-26_15-16-25,append,800KB,100,2,yuiha,192248,271424,79176,
2024-07-26_15-16-25,append,800KB,100,4,yuiha,192248,270928,78680,
2024-07-26_15-16-25,append,800KB,100,200,yuiha,192248,270460,78212,
2024-07-26_15-16-25,append,1600KB,100,1,yuiha,192248,350376,158128,
2024-07-26_15-16-25,append,1600KB,100,2,yuiha,192248,349624,157376,
2024-07-26_15-16-25,append,1600KB,100,4,yuiha,192248,349128,156880,
2024-07-26_15-16-25,append,1600KB,100,200,yuiha,192248,348660,156412,
2024-07-26_15-07-49,seq,60k,100,1,yuiha,192248,199044,6796,31771852.800000
2024-07-26_15-07-49,seq,60k,100,2,yuiha,192248,195644,3396,46563737.600000
2024-07-26_15-07-49,seq,60k,100,4,yuiha,192248,193944,1696,54742906.880000
2024-07-26_15-07-49,seq,60k,100,200,yuiha,192248,192312,64,61663191.040000
2024-07-26_15-07-49,seq,250k,100,1,yuiha,192248,218244,25996,52661043.200000
2024-07-26_15-07-49,seq,250k,100,2,yuiha,192248,205244,12996,66176010.240000
2024-07-26_15-07-49,seq,250k,100,4,yuiha,192248,198744,6496,74040115.200000
2024-07-26_15-07-49,seq,250k,100,200,yuiha,192248,192504,256,80419061.760000
2024-07-26_15-07-49,seq,1000k,100,1,yuiha,192248,293040,100792,92810844.160000
2024-07-26_15-07-49,seq,1000k,100,2,yuiha,192248,242644,50396,100612812.800000
2024-07-26_15-07-49,seq,1000k,100,4,yuiha,192248,217444,25196,102863134.720000
2024-07-26_15-07-49,seq,1000k,100,200,yuiha,192248,193252,1004,117727805.440000
2024-07-26_15-07-49,seq,4000k,100,1,yuiha,192248,593040,400792,270065489.920000
2024-07-26_15-07-49,seq,4000k,100,2,yuiha,192248,392640,200392,417665853.440000
2024-07-26_15-07-49,seq,4000k,100,4,yuiha,192248,292444,100196,516970065.920000
2024-07-26_15-07-49,seq,4000k,100,200,yuiha,192248,196252,4004,777036523.520000
