date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-08-17_20-36-44,seq,500k,100,1,yuiha,176196,226992,50796,43144427.520000
2024-08-17_20-36-44,seq,500k,100,2,yuiha,176196,201592,25396,113707284.480000
2024-08-17_20-36-44,seq,500k,100,4,yuiha,176196,188892,12696,161930055.680000
2024-08-17_20-36-44,seq,1000k,100,1,yuiha,176196,276992,100796,57631610.880000
2024-08-17_20-36-44,seq,1000k,100,2,yuiha,176196,226592,50396,154524252.160000
2024-08-17_20-36-44,seq,1000k,100,4,yuiha,176196,201392,25196,207149352.960000
2024-08-17_20-36-44,seq,2000k,100,1,yuiha,176196,376992,200796,68884131.840000
2024-08-17_20-36-44,seq,2000k,100,2,yuiha,176196,276592,100396,202109102.080000
2024-08-17_20-36-44,seq,2000k,100,4,yuiha,176196,226392,50196,274460508.160000
2024-08-17_20-36-44,seq,4000k,100,1,yuiha,176196,576992,400796,147777689.600000
2024-08-17_20-36-44,seq,4000k,100,2,yuiha,176196,376588,200392,702876835.840000
2024-08-17_20-36-44,seq,4000k,100,4,yuiha,176196,276392,100196,973404334.080000
2024-08-17_20-36-44,append,200KB,100,1,yuiha,176196,197536,21340,===
2024-08-17_20-36-44,append,200KB,100,2,yuiha,176196,196652,20456,===
2024-08-17_20-36-44,append,200KB,100,4,yuiha,176196,196184,19988,===
2024-08-17_20-36-44,append,400KB,100,1,yuiha,176196,217136,40940,===
2024-08-17_20-36-44,append,400KB,100,2,yuiha,176196,216236,40040,===
2024-08-17_20-36-44,append,400KB,100,4,yuiha,176196,215768,39572,===
2024-08-17_20-36-44,append,800KB,100,1,yuiha,176196,256228,80032,===
2024-08-17_20-36-44,append,800KB,100,2,yuiha,176196,255360,79164,===
2024-08-17_20-36-44,append,800KB,100,4,yuiha,176196,254880,78684,===
2024-08-17_20-36-44,append,1600KB,100,1,yuiha,176196,334324,158128,===
2024-08-17_20-36-44,append,1600KB,100,2,yuiha,176196,333576,157380,===
2024-08-17_20-36-44,append,1600KB,100,4,yuiha,176196,333040,156844,===
