procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 5  1      0 6468280   2064  53696    0    0  1039  5564  600  484  2  4 91  3
 0  0      0 6467284    384  48548    0    0  4884  4272 1820 1804  1  1 96  2
 0  0      0 6466912    408  49156    0    0  3320  2548 1256 1503  0  2 96  1
 0  0      0 6466284    396  49628    0    0  2712  2584 1192 1750  0  3 96  1
 0  0      0 6465300    380  50544    0    0  3524  3368 1363 1657  0  4 95  1
 0  0      0 6464928    400  51140    0    0  2668  2544 1139 1635  0  2 96  1
 0  0      0 6464348    400  51412    0    0  2652  2548 1064 1456  0  2 95  2
 0  0      0 6455516    388  60460    0    0  2660  2556 7583 1797  0  4 91  4
 1  0      0 6446036    396  68952    0    0  2672  2552 8627 1872  0  5 92  2
 1  0      0 6445876    368  69360    0    0  3264  2580 1184 1603  0  3 96  1
 0  0      0 6446004    388  69556    0    0  2992  3364 1322 1641  0  3 95  1
 0  0      0 6445540    388  69340    0    0  3540  3404 1377 1782  0  3 95  2
 0  0      0 6445632    404  69860    0    0  2696  2548 1172 1692  0  3 96  1
 0  0      0 6445608    420  69784    0    0  4528  2584 1703 1847  0  1 96  2
 0  0      0 6437180    392  78148    0    0  3508  3372 8256 2265  0  8 88  4
 1  0      0 6437136    392  78368    0    0  5312  3392 1744 1784  0  3 95  1
 0  0      0 6436820    764  78368    0    0  5700  3404 2001 2324  0  3 95  2
 0  0      0 6436712    400  78680    0    0  5352  3404 1741 1830  1  2 95  1
 0  0      0 6436820    396  78704    0    0  5348  3432 1750 1815  0  2 95  2
 1  0      0 6438216    380  77720    0    0  6180  3388 1842 1864  0  4 93  3
 0  0      0 6426176    416  86908    0    0  4520  3404 4604 2192  0  4 92  4
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 6428328    400  87132    0    0  6188  4228 5878 2246  1  6 91  2
 1  0      0 6428292    392  87136    0    0  5340  3396 1735 1850  1  4 94  2
 0  0      0 6427772    396  87276    0    0  5348  3428 1932 2104  1  3 94  2
 1  0      0 6427680    396  87824    0    0  5756  3396 1765 1858  0  3 94  2
 1  1      0 6427632    380  87488    0    0  5808  4192 2071 2214  0  4 94  1
 0  0      0 6427540    372  87688    0    0  5360  3456 2386 2059  0  4 94  1
