procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 3937828   2388   8024    0    0   402   390   19   23  0  0 99  1
 0  1      0 3929116   2536   8484    0    0   296   296  198  190  0  1 65 35
 1  0      0 3935136    132   4428    0    0  3724  1056  703  701  0  3 93  3
 1  0      0 3935664    148   4012    0    0  4416   744  692  691  1  4 93  2
 0  0      0 3935324    168   4328    0    0  3544   988  651  622  1  3 93  3
 0  0      0 3935136    172   4420    0    0  5524   988  741  754  1  4 93  2
 1  0      0 3935192    192   4540    0    0  3360   776  644  626  1  3 94  2
 0  0      0 3935044    188   4476    0    0  4400  1004  721  733  1  4 92  4
 0  1      0 3934648    192   5044    0    0  3884   784  636  627  0  4 93  3
 0  0      0 3935076    176   4396    0    0  3872  1000  702  709  1  4 93  3
 0  0      0 3935200    180   4404    0    0  4412  1024  723  759  1  3 94  2
 1  0      0 3934928    204   4680    0    0  3488   792  658  626  0  4 93  2
 0  0      0 3935060    188   4516    0    0  4284   992  725  729  1  4 91  4
 0  0      0 3934920    188   4456    0    0  4416  1032  731  758  1  3 93  3
 0  0      0 3935044    188   4456    0    0  4412  1020  730  742  1  5 92  3
 0  1      0 3934464    196   5040    0    0  3912   788  649  660  0  4 94  2
 0  0      0 3926752    176  12644    0    0  3844  1020 1221  733  1  8 85  6
 0  0      0 3926620    176  12600    0    0  4404  1000  728  750  1  4 94  2
 0  0      0 3926736    184  12596    0    0  4420  1028  735  757  0  4 93  2
 1  0      0 3926804    172  12460    0    0  4284   800  703  718  2  5 92  2
 0  0      0 3926612    204  12672    0    0  3444  1020  669  636  1  3 93  3
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 3926464    192  12644    0    0  4420   996  738  755  1  4 92  4
 1  0      0 3927116    160  12084    0    0  4056   784  674  696  1  3 95  1
 0  0      0 3926580    192  12608    0    0  3712  1020  675  667  1  3 94  3
 0  0      0 3926728    180  12600    0    0  4412  1012  727  755  0  5 94  1
 0  0      0 3926728    176  12600    0    0  4404  1020  730  745  0  4 92  3
 0  0      0 3926572    180  12600    0    0  4416  1020  735  750  1  4 92  2
 0  0      0 3926572    204  12708    0    0  3328   796  647  618  1  3 95  1
