date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-08-01_23-29-38,append,200KB,100,1,yuiha,176196,197536,21340,===
2024-08-01_23-29-38,append,200KB,100,2,yuiha,176196,196644,20448,===
2024-08-01_23-29-38,append,200KB,100,4,yuiha,176196,196184,19988,===
2024-08-01_23-29-38,append,200KB,100,200,yuiha,176196,195752,19556,===
2024-08-01_23-29-38,append,400KB,100,1,yuiha,176196,217136,40940,===
2024-08-01_23-29-38,append,400KB,100,2,yuiha,176196,216236,40040,===
2024-08-01_23-29-38,append,400KB,100,4,yuiha,176196,215752,39556,===
2024-08-01_23-29-38,append,400KB,100,200,yuiha,176196,215304,39108,===
2024-08-01_23-29-38,append,800KB,100,1,yuiha,176196,256220,80024,===
2024-08-01_23-29-38,append,800KB,100,2,yuiha,176196,255372,79176,===
2024-08-01_23-29-38,append,800KB,100,4,yuiha,176196,254880,78684,===
2024-08-01_23-29-38,append,800KB,100,200,yuiha,176196,254408,78212,===
2024-08-01_23-29-38,append,1600KB,100,1,yuiha,176196,334332,158136,===
2024-08-01_23-29-38,append,1600KB,100,2,yuiha,176196,333572,157376,===
2024-08-01_23-29-38,append,1600KB,100,4,yuiha,176196,333076,156880,===
2024-08-01_23-29-38,append,1600KB,100,200,yuiha,176196,332608,156412,===
2024-08-01_23-29-38,seq,60k,100,1,yuiha,176196,182992,6796,15540162.560000
2024-08-01_23-29-38,seq,60k,100,2,yuiha,176196,179592,3396,23677112.320000
2024-08-01_23-29-38,seq,60k,100,4,yuiha,176196,177892,1696,28353495.040000
2024-08-01_23-29-38,seq,60k,100,200,yuiha,176196,176260,64,51694796.800000
2024-08-01_23-29-38,seq,250k,100,1,yuiha,176196,202192,25996,25812551.680000
2024-08-01_23-29-38,seq,250k,100,2,yuiha,176196,189188,12992,39347814.400000
2024-08-01_23-29-38,seq,250k,100,4,yuiha,176196,182692,6496,45134305.280000
2024-08-01_23-29-38,seq,250k,100,200,yuiha,176196,176452,256,64771399.680000
2024-08-01_23-29-38,seq,1000k,100,1,yuiha,176196,276992,100796,49015848.960000
2024-08-01_23-29-38,seq,1000k,100,2,yuiha,176196,226592,50396,84916951.040000
2024-08-01_23-29-38,seq,1000k,100,4,yuiha,176196,201392,25196,119208366.080000
2024-08-01_23-29-38,seq,1000k,100,200,yuiha,176196,177200,1004,147203276.800000
2024-08-01_23-29-38,seq,4000k,100,1,yuiha,176196,576992,400796,48084101.120000
2024-08-01_23-29-38,seq,4000k,100,2,yuiha,176196,376588,200392,119665838.080000
2024-08-01_23-29-38,seq,4000k,100,4,yuiha,176196,276392,100196,133955481.600000
2024-08-01_23-29-38,seq,4000k,100,200,yuiha,176196,180200,4004,217375631.360000
