procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 3937308   2404   8664    0    0   541  1225   58   59  0  1 97  1
 1  1      0 3927736   2548   9264    0    0   292   484  187  207  0  0 82 18
 0  0      0 3934716    132   4396    0    0  3704  1800  655  651  1  2 84 13
 0  0      0 3934592    140   4532    0    0  4372  1736  681  692  1  3 92  4
 1  0      0 3934732    144   4360    0    0  4252  1336  663  669  1  4 92  3
 0  0      0 3934476    168   4480    0    0  3400  1740  612  589  0  4 93  3
 0  2      0 3934600    144   4608    0    0  4388  1700  671  687  1  4 91  3
 0  0      0 3934608    168   4484    0    0  3292  1368  607  582  0  2 94  3
 0  0      0 3934600    152   4540    0    0  4372  1720  685  704  1  4 91  5
 0  0      0 3934608    152   4540    0    0  4376  1740  679  700  0  4 90  5
 0  0      0 3934608    168   4632    0    0  3308  1332  593  565  1  4 92  3
 0  0      0 3934484    152   4604    0    0  4376  1720  668  694  1  4 91  3
 0  1      0 3934112    172   5104    0    0  3880  1320  616  613  1  3 93  3
 0  0      0 3934608    152   4604    0    0  3816  1740  647  645  1  3 91  4
 0  0      0 3926332    152  12712    0    0  4376  1740 1167  749  0  7 88  5
 0  0      0 3926208    168  12692    0    0  3292  1320  584  552  1  4 93  3
 0  0      0 3926200    152  12732    0    0  4372  1736  669  702  1  4 92  4
 0  0      0 3926208    152  12732    0    0  4376  1740  673  693  1  4 92  4
 0  0      0 3918148    168  20820    0    0  3312  1320 1220  647  1  5 92  2
 0  0      0 3918264    152  20984    0    0  4372  1732  686  696  1  4 91  4
 0  0      0 3918140    152  20988    0    0  4368  1740  670  697  1  4 91  4
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 3918148    172  20864    0    0  3288  1312  589  555  0  4 92  4
 0  1      0 3917652    168  21480    0    0  3864  1328  614  603  0  4 92  4
 0  0      0 3918148    152  20980    0    0  3832  1740  659  658  0  3 92  5
 0  0      0 3918272    156  20984    0    0  4368  1724  670  689  0  4 91  5
 0  0      0 3918272    152  20984    0    0  4364  1744  677  695  0  4 91  5
 0  2      0 3918272    144  20992    0    0  4368  1716  670  692  1  4 92  3
 0  0      0 3918272    168  20968    0    0  3288  1340  594  559  1  4 91  4
 0  0      0 3918272    152  20924    0    0  4368  1736  672  699  1  3 92  4
