procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 3937508   1096   8616    0    0   227  1322   36   24  0  6 93  1
 0  0      0 3934616    144   4636    0    0  4012  2288  786  820  1  3 92  3
 1  0      0 3934624    168   4612    0    0  3320  1320  599  574  0  2 96  1
 0  2      0 3934608    188   4564    0    0  2208   828  387  378  1  1 69 30
 1  1      0 3934608    220   4812    0    0  2496   924  452  465  0  1 75 24
 0  0      0 3934624    160   4620    0    0  4220  1724  686  705  1  3 92  4
 0  0      0 3934724    164   4644    0    0  5480  2172  779  862  1  4 90  5
 1  1      0 3934360    168   5032    0    0  5860  2208  827  908  1  4 89  6
 1  1      0 3934624    168   4656    0    0  5136  2172  779  830  0  5 89  6
 0  0      0 3934748    168   4620    0    0  4400  1732  679  694  1  2 93  3
 0  0      0 3934740    168   4636    0    0  4380  1740  689  712  2  2 92  4
 1  0      0 3935476    156   3992    0    0  4060  1320  668  671  0  4 93  3
 0  0      0 3934624    188   4608    0    0  3676  1756  636  618  1  2 93  4
 0  0      0 3926072    168  12892    0    0  4416  1720 1380  767  0  7 87  6
 0  0      0 3926188    168  12852    0    0  4404  1756  682  708  2  3 91  4
 0  0      0 3926196    188  12744    0    0  3316  1320  604  571  0  4 92  3
 0  0      0 3918260    172  20980    0    0  4412  1724 1188  761  1  6 88  5
 1  0      0 3918136    192  20996    0    0  3324  1332  589  566  0  3 94  3
 0  0      0 3918260    168  21072    0    0  4404  1720  681  707  0  3 92  5
 0  0      0 3918376    168  21028    0    0  5472  2172  800  854  0  4 87  8
 1  0      0 3917624    188  21724    0    0  3972  1336  635  631  1  3 92  4
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 3918112    168  21040    0    0  4820  2160  756  781  0  5 90  5
 0  0      0 3917988    168  21008    0    0  5496  2180  792  862  0  4 91  4
 0  0      0 3918260    188  21012    0    0  3316  1320  602  575  1  2 95  2
 0  0      0 3918136    168  20996    0    0  4408  1724  681  705  1  3 94  2
 0  0      0 3918136    172  21032    0    0  5472  2184  837  880  1  4 91  4
