procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 3938388    500   8540    0    0   238  1367   38   26  0  6 93  1
 1  0      0 3934128    152   4856    0    0  4196  4324  855  874  1  5 91  3
 0  0      0 3934136    192   4988    0    0  7716  5080 1015 1126  1  6 90  3
 0  0      0 3934160    184   4992    0    0  4440  3428  795  800  2  4 91  3
 0  0      0 3933896    180   5004    0    0  4404  3364  769  778  1  4 93  2
 0  0      0 3934060    180   5000    0    0  4452  3408  769  787  0  4 93  3
 1  0      0 3925380    188  13748    0    0  5140  3432 1689  912  1  7 88  3
 0  0      0 3925572    172  13072    0    0  5940  5068 1000 1042  1  6 89  4
 0  0      0 3917272    188  21336    0    0  4440  3396 1248  839  1  7 87  4
 0  0      0 3917304    184  21400    0    0  4400  3428  776  786  1  3 94  2
 1  0      0 3917224    176  20696    0    0  6504  4256  992 1089  1  7 88  3
 1  0      0 3917248    184  21516    0    0  5828  5092  954 1021  2  5 90  3
 0  0      0 3917172    188  21360    0    0  6472  5080 1019 1096  1  7 89  3
 0  0      0 3917312    208  21448    0    0  4476  2580  668  649  0  4 95  2
 0  1      0 3916840    188  21940    0    0  1688   848  318  312  0  2 77 21
 0  0      0 3917172    188  21316    0    0  3892  3364  744  727  1  4 92  3
 0  0      0 3917280    192  21404    0    0  5532  4256 1167  987  2  5 89  4
 0  0      0 3917148    180  21220    0    0  5516  4252  899  943  2  5 90  3
 0  0      0 3917224    172  21396    0    0  5520  4248  921  960  1  4 92  3
 1  0      0 3917816    152  20704    0    0  6268  4276  941 1046  2  5 92  2
 0  1      0 3916784    184  21980    0    0  6552  5104 1007 1091  1  7 88  4
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 3917372    192  21360    0    0  3768  3376  910  732  1  6 89  4
