date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-09-04_19-52-17,append,200KB,100,1,yuiha,176196,197536,21340,===
2024-09-04_19-52-17,append,200KB,100,2,yuiha,176196,196644,20448,===
2024-09-04_19-52-17,append,200KB,100,4,yuiha,176196,196184,19988,===
2024-09-04_19-52-17,append,200KB,100,200,yuiha,176196,195752,19556,===
2024-09-04_19-52-17,append,400KB,100,1,yuiha,176196,217136,40940,===
2024-09-04_19-52-17,append,400KB,100,2,yuiha,176196,216236,40040,===
2024-09-04_19-52-17,append,400KB,100,4,yuiha,176196,215752,39556,===
2024-09-04_19-52-17,append,400KB,100,200,yuiha,176196,215304,39108,===
2024-09-04_19-52-17,append,800KB,100,1,yuiha,176196,256228,80032,===
2024-09-04_19-52-17,append,800KB,100,2,yuiha,176196,255364,79168,===
2024-09-04_19-52-17,append,800KB,100,4,yuiha,176196,254880,78684,===
2024-09-04_19-52-17,append,800KB,100,200,yuiha,176196,254408,78212,===
2024-09-04_19-52-17,append,1600KB,100,1,yuiha,176196,334308,158112,===
2024-09-04_19-52-17,append,1600KB,100,2,yuiha,176196,333576,157380,===
2024-09-04_19-52-17,append,1600KB,100,4,yuiha,176196,333076,156880,===
2024-09-04_19-52-17,append,1600KB,100,200,yuiha,176196,332608,156412,===
