procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3926300  16972   6452    0    0   468   131   32   36  0  1 99  0
 0  0      0 3911976  17744  18600    0    0  1620   636  638  555  1  6 92  0
 1  0      0 3923368  17744   7508    0    0     0   524  585  474  2  9 89  0
 0  0      0 3911852  17744  18608    0    0     0   628  598  485  1  7 92  0
 1  0      0 3923276  17752   7504    0    0     0   776  615  511  1  8 91  1
 0  0      0 3911736  17752  18540    0    0     0   564  586  463  1  8 91  0
 1  0      0 3913372  17752  16548    0    0     0   564  577  442  1  7 91  0
 0  0      0 3911736  17752  18624    0    0     0   672  620  506  2  8 90  0
 0  0      0 3911588  17752  18632    0    0     0   580  581  435  2  7 91  0
 0  0      0 3911604  17760  18624    0    0     0   712  624  526  1  8 91  0
 0  0      0 3911728  17760  18636    0    0     0   560  576  439  2  6 92  0
 0  0      0 3923368  17760   7540    0    0     0   676  591  477  2  8 91  0
 0  0      0 3911752  17760  18612    0    0     0   572  613  482  1  7 92  0
 0  0      0 3911604  17760  18568    0    0     0   672  638  523  1  7 92  0
 1  0      0 3917068  17768  13612    0    0     0   720  634  530  1  9 90  0
 0  0      0 3923376  17768   7488    0    0     0   688  604  494  1  5 94  0
 0  0      0 3911720  17768  18700    0    0     0   564  606  474  1  8 90  0
 1  0      0 3911960  17768  18668    0    0     0   672  616  509  1  8 91  0
 0  0      0 3911728  17768  18668    0    0     0   564  576  450  1  7 92  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3923328  17776   7500    0    0   462   132   35   38  0  1 99  0
 0  0      0 3911596  17776  18668    0    0    24  1796  603  464  2  7 91  0
 1  0      0 3922756  17776   7624    0    0    24  1492  602  474  1  9 90  0
 0  0      0 3911348  17776  18816    0    0    20  1788  623  510  2  8 90  0
 1  0      0 3913960  17784  15860    0    0    24  1616  601  471  0  8 91  0
 0  0      0 3922888  17784   7664    0    0    20  1840  608  482  2  9 89  0
 0  0      0 3911472  17784  18852    0    0    20  1532  608  483  2  8 89  0
 1  0      0 3911116  17784  18864    0    0    24  1528  593  448  2  7 91  0
 1  0      0 3916176  17784  13548    0    0    20  1548  579  449  2  6 92  0
 2  0      0 3922764  17792   7700    0    0    20  1872  616  500  2  7 90  1
 0  0      0 3911448  17800  18812    0    0    20  1532  612  478  2 10 89  0
 1  0      0 3920036  17848  10344    0    0    24  1840  628  527  1  8 91  0
 0  0      0 3911208  17888  18880    0    0    20  1540  586  453  2  8 90  0
 1  0      0 3921284  17928   8684    0    0    24  1528  594  452  1  6 92  0
 0  0      0 3911232  17984  18900    0    0    20  1916  642  527  3  7 90  0
 0  0      0 3911108  18028  18912    0    0    20  1536  595  450  3  9 88  0
 0  0      0 3911100  18068  18928    0    0    20  1540  586  446  3  8 89  0
 1  0      0 3922384  18108   7764    0    0    24  1532  612  486  2  8 90  0
 0  0      0 3910852  18156  18956    0    0    20  1836  610  491  1  8 90  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3922064  17808   8536    0    0   455   139   38   40  0  1 99  0
 0  0      0 3910596  17808  19424    0    0     8  6380  608  482  1  7 92  0
 1  0      0 3910736  17808  19520    0    0     0  6384  610  509  1  7 91  0
 1  0      0 3919052  17828  10740    0    0     0  5320  582  453  2  6 92  0
 0  0      0 3910208  17908  19768    0    0     0  6520  615  538  2  6 91  1
 1  0      0 3915960  17984  14544    0    0     0  6428  614  516  1  8 91  0
 0  0      0 3910000  18044  19784    0    0     0  5360  575  442  2  6 92  0
 0  0      0 3909984  18116  19880    0    0     0  6436  618  520  1  8 90  0
 0  0      0 3909984  18188  19864    0    0     0  6444  613  524  2  4 93  0
 0  0      0 3909736  18256  19916    0    0     0  5400  579  447  1 10 88  0
 0  0      0 3909464  18328  20020    0    0     0  6456  616  522  1  7 92  0
 0  0      0 3909488  18388  20080    0    0     0  5384  587  441  2  7 91  0
 1  0      0 3909620  18460  20068    0    0     0  6456  598  515  4  6 90  0
 0  0      0 3909116  18520  20188    0    0     0  5380  572  441  2  7 91  0
 1  0      0 3909232  18600  20128    0    0     0  6492  605  525  1  7 92  0
 2  0      0 3920540  18676   9080    0    0     0  6468  600  493  2  5 92  0
 0  0      0 3908868  18736  20328    0    0     0  5380  575  472  1  7 91  0
 1  0      0 3911116  18796  17408    0    0     0  5380  560  440  3  6 91  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3923436  17852   7280    0    0   449   171   40   42  0  1 98  0
 0  0      0 3907208  17884  22668    0    0     8 20672  561  446  2  8 89  0
 0  0      0 3906936  18004  22784    0    0     0 20692  565  449  2  9 89  0
 1  0      0 3904620  18124  22984    0    0     0 20704  576  447  2  7 91  0
 0  0      0 3906480  18252  23132    0    0     0 20824  590  461  2  7 90  1
 0  0      0 3917624  18372  12120    0    0     0 20752  551  420  3  9 87  0
 0  0      0 3905952  18492  23376    0    0     0 20752  595  487  2  5 92  0
 1  0      0 3907720  18588  20892    0    0     0 16588  526  371  2  9 89  0
 0  0      0 3905224  18708  23740    0    0     0 20716  568  439  2  9 89  0
 0  0      0 3905100  18812  23864    0    0     0 16616  521  380  4 10 85  0
 1  0      0 3916384  18932  12884    0    0     0 18384  538  404  3  8 89  0
 0  0      0 3904612  19028  24060    0    0     0 18904  543  405  3  9 88  0
 0  0      0 3904356  19124  24280    0    0     0 16576  519  363  3 10 87  0
 0  0      0 3904100  19220  24408    0    0     0 16572  517  363  4  8 89  0
 1  0      0 3915392  19344  13468    0    0     0 16620  556  416  3  9 88  0
 1  0      0 3911060  19448  17592    0    0     0 20720  541  403  3  9 88  0
 0  0      0 3903380  19544  24884    0    0     0 16576  521  376  3  6 90  0
 0  0      0 3903132  19664  25036    0    0     0 20712  574  445  3  6 90  0
 1  0      0 3903124  19784  25144    0    0     0 20728  561  434  2  8 89  0
 0  0      0 3902628  19884  25272    0    0     0 16576  521  380  3  8 89  0
 0  0      0 3902256  19988  25400    0    0     0 16616  532  377  3 10 86  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3913392  20108  14376    0    0     0 16576  556  422  3  8 89  0
 0  0      0 3902256  20204  25684    0    0     0 20760  565  421  2  8 89  1
