procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 6341836   4300  53020    0    0   954  6177  607  284  1  3 93  3
 0  0      0 6342968    372  47828    0    0  4072  1872 1191  821  0  2 98  1
 0  0      0 6342732    380  47976    0    0  4112  1732  993  975  0  0 98  1
 0  0      0 6342284    404  48368    0    0  2628  1344  762  704  0  1 99  0
 0  0      0 6342292    400  48728    0    0  3624  1752  916  869  0  1 98  1
 0  0      0 6341796    384  48988    0    0  3504  1740  896  865  0  1 98  0
 0  0      0 6341464    396  49184    0    0  2628  1368  772  739  0  1 98  1
 0  0      0 6341192    384  49588    0    0  3508  1788  904  907  0  1 98  1
 0  0      0 6340556    404  49964    0    0  3524  1764  889  860  0  1 97  2
 0  0      0 6332144    400  58504    0    0  2648  1344 9276 1109  0  1 95  4
 0  0      0 6331664    404  58736    0    0  2656  1360  707  706  1  0 98  1
 0  0      0 6331456    384  59000    0    0  3492  1768  874  866  1  1 98  1
 0  0      0 6331332    408  59276    0    0  2680  1352  754  746  0  1 98  1
 0  0      0 6331200    400  59600    0    0  2676  1352  762  725  0  1 98  1
 0  0      0 6330604    408  59920    0    0  2656  1336  756  715  0  0 98  1
 0  0      0 6330480    400  60016    0    0  2644  1336  711  659  0  1 99  0
 0  0      0 6330364    400  60192    0    0  2644  1352  756  702  0  1 98  0
 0  0      0 6330092    372  60380    0    0  3492  1784  884  885  0  0 97  2
 0  0      0 6321772    376  68808    0    0  3520  1788 9546 1619  0  2 92  5
 0  0      0 6321680    404  68828    0    0  2640  1352 1033  813  1  0 98  1
 0  0      0 6321512    392  68928    0    0  3520  1788  894  870  0  1 97  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 6321452    384  68948    0    0  3504  1796  893  889  1  1 98  1
 0  0      0 6321664    412  69292    0    0  2612  1372  772  721  0  1 98  1
 0  0      0 6321432    392  69284    0    0  3504  1760  895  865  0  1 98  1
 0  0      0 6321036    400  69424    0    0  3520  1788  871  871  0  0 98  1
 0  0      0 6320820    392  69548    0    0  3500  1792  877  858  0  1 98  1
 0  0      0 6321068    404  69540    0    0  2656  1356 1021  741  0  1 98  1
 0  0      0 6320804    376  69712    0    0  3504  1780  863  860  1  0 98  1
 0  0      0 6321168    400  69796    0    0  2656  1340  728  737  0  0 99  1
