date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-08-17_20-24-18,seq,500k,100,1,yuiha,176196,226992,50796,86475939.840000
2024-08-17_20-24-18,seq,500k,100,2,yuiha,176196,201592,25396,103663380.480000
2024-08-17_20-24-18,seq,500k,100,4,yuiha,176196,188892,12696,112746772.480000
2024-08-17_20-24-18,seq,1000k,100,1,yuiha,176196,276992,100796,68829726.720000
2024-08-17_20-24-18,seq,1000k,100,2,yuiha,176196,226592,50396,102212853.760000
2024-08-17_20-24-18,seq,1000k,100,4,yuiha,176196,201392,25196,121372805.120000
2024-08-17_20-24-18,seq,2000k,100,1,yuiha,176196,376992,200796,66779187.200000
2024-08-17_20-24-18,seq,2000k,100,2,yuiha,176196,276592,100396,102315622.400000
2024-08-17_20-24-18,seq,2000k,100,4,yuiha,176196,226392,50196,122070343.680000
2024-08-17_20-24-18,seq,4000k,100,1,yuiha,176196,576992,400796,69421127.680000
2024-08-17_20-24-18,seq,4000k,100,2,yuiha,176196,376588,200392,103084738.560000
2024-08-17_20-24-18,seq,4000k,100,4,yuiha,176196,276392,100196,124783585.280000
2024-08-17_20-24-18,append,200KB,100,1,yuiha,176196,197536,21340,===
2024-08-17_20-24-18,append,200KB,100,2,yuiha,176196,196652,20456,===
2024-08-17_20-24-18,append,200KB,100,4,yuiha,176196,196184,19988,===
2024-08-17_20-24-18,append,400KB,100,1,yuiha,176196,217136,40940,===
2024-08-17_20-24-18,append,400KB,100,2,yuiha,176196,216236,40040,===
2024-08-17_20-24-18,append,400KB,100,4,yuiha,176196,215760,39564,===
2024-08-17_20-24-18,append,800KB,100,1,yuiha,176196,256220,80024,===
2024-08-17_20-24-18,append,800KB,100,2,yuiha,176196,255364,79168,===
2024-08-17_20-24-18,append,800KB,100,4,yuiha,176196,254880,78684,===
2024-08-17_20-24-18,append,1600KB,100,1,yuiha,176196,334308,158112,===
2024-08-17_20-24-18,append,1600KB,100,2,yuiha,176196,333572,157376,===
2024-08-17_20-24-18,append,1600KB,100,4,yuiha,176196,333040,156844,===
