procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  1      0 3935720   2540   8660    0    0   478  1142   64   57  0  4 94  1
 0  1      0 3927704   2556   9532    0    0   168   876  237  204  0  1 82 17
 2  0      0 3934592    128   4200    0    0  1400   908  571  348  1 15 83  1
 1  0      0 3934428    128   4504    0    0  1092   832  422  237  0 19 80  1
 0  0      0 3934420    136   4996    0    0  1180  1648  426  271  0 19 80  1
 1  0      0 3934616    152   5040    0    0  1084   876  405  247  0 15 84  1
 1  0      0 3934908    144   4180    0    0  2060   852  472  350  0 19 80  1
 1  0      0 3934552    148   4364    0    0  1084   848  398  228  0 19 80  0
 1  0      0 3934460    148   4684    0    0  1088   848  392  237  0 20 79  1
 1  0      0 3934368    156   4828    0    0  1076   852  388  241  0 20 79  1
 0  0      0 3934668    160   5100    0    0  1212  1676  403  263  0 17 82  1
 0  0      0 3934676    160   5028    0    0  1080   880  389  246  0 16 82  2
 1  0      0 3935156    160   4132    0    0  2052   848  476  369  1 16 82  1
 1  0      0 3934792    160   4288    0    0  1096   848  400  233  1 18 80  1
 1  0      0 3934676    148   4548    0    0  1076   856  403  234  0 19 79  1
 1  0      0 3934336    160   4820    0    0  1092   840  383  242  0 18 81  1
 0  0      0 3934716    168   5068    0    0  1188  1668  404  263  0 18 81  1
 0  0      0 3926476    164  13224    0    0  1096   880  968  452  0 17 80  2
 1  0      0 3926532    164  12236    0    0  2060   848  475  360  0 17 81  1
 1  0      0 3926144    160  12560    0    0  1076   856  405  235  0 19 80  1
 1  0      0 3926112    160  12820    0    0  1100   852  385  234  0 19 80  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3925616    156  12944    0    0  1080   848  376  238  0 18 82  0
 0  0      0 3926168    168  13300    0    0  1204  1672  397  270  0 18 81  0
 0  0      0 3926020    168  13284    0    0  1072   884  380  243  0 15 83  1
 1  0      0 3926468    160  12336    0    0  2068   848  490  364  1 18 81  1
 1  0      0 3926236    160  12544    0    0  1092   852  403  244  0 18 80  1
 1  0      0 3926052    160  12752    0    0  1076   848  383  239  0 19 81  0
 1  0      0 3925060    884  12992    0    0  1820   848  401  267  0 18 80  1
 0  0      0 3926104    192  13304    0    0  1696  1672  422  300  0 16 83  1
 0  1      0 3925732    180  13820    0    0  1716   872  415  307  0 16 83  1
 1  0      0 3926352    176  12424    0    0  1444   848  452  304  0 19 80  1
 1  0      0 3925988    176  12616    0    0  1104   852  455  247  0 19 80  1
 1  0      0 3925864    180  12868    0    0  1088   856  393  241  0 19 80  1
 0  0      0 3926112    184  13216    0    0  1208  1672  401  269  0 17 81  1
 0  0      0 3926112    180  13256    0    0  1076   876  394  251  0 16 83  1
 1  0      0 3926468    176  12292    0    0  2080   848  479  364  0 17 81  1
 1  0      0 3926144    180  12528    0    0  1096   852  398  238  0 19 80  1
 1  0      0 3925888    176  12716    0    0  1080   856  384  232  0 19 80  0
 1  0      0 3925772    176  12868    0    0  1104   848  378  235  0 18 79  2
 1  0      0 3925648    172  12948    0    0  1084   852  387  234  0 19 81  1
 0  0      0 3926012    184  13264    0    0  1208  1668  401  268  0 17 81  2
 0  0      0 3926052    184  13180    0    0  1076   884  395  251  0 15 85  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3926468    176  12352    0    0  2072   840  481  359  0 19 80  1
 1  0      0 3926112    172  12564    0    0  1092   848  399  240  0 19 80  1
 1  0      0 3925772    176  12848    0    0  1080   848  397  245  1 20 79  1
 1  0      0 3925740    204  12992    0    0  1128   852  391  248  0 18 81  1
 0  0      0 3926036    196  13320    0    0  1256  1676  472  323  0 18 80  1
 0  1      0 3925664    188  13916    0    0  1788   880  426  321  0 15 83  1
 1  0      0 3926128    180  12432    0    0  1368   848  450  296  0 19 80  1
 1  0      0 3926044    180  12744    0    0  1104   848  397  240  1 19 80  1
 1  0      0 3925796    176  12880    0    0  1084   860  387  236  0 19 79  2
 0  0      0 3926012    184  13168    0    0  1204  1696  444  271  0 18 81  1
 1  0      0 3926460    180  12272    0    0  2068   852  482  364  1 16 81  2
 1  0      0 3926104    180  12456    0    0  1360   848  412  247  0 19 80  1
 1  0      0 3925980    180  12564    0    0  1096   856  406  241  0 19 80  1
 1  0      0 3925764    172  12884    0    0  1076   848  397  248  0 19 81  0
 0  0      0 3926144    188  13184    0    0  1216  1660  409  268  0 18 80  2
 0  0      0 3926120    184  13280    0    0  1084   848  415  243  0 15 83  2
 1  0      0 3926276    176  12328    0    0  2056   880  484  380  0 16 82  2
 1  0      0 3926128    184  12732    0    0  1104   856  448  255  0 21 77  1
 1  0      0 3925508    180  12856    0    0  1088   848  404  239  0 19 80  0
 0  0      0 3926212    188  13284    0    0  1208  1672  414  267  0 17 81  2
 0  0      0 3926128    184  13292    0    0  1076   876  409  246  0 17 83  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3926360    188  12348    0    0  2096   928  501  388  0 18 80  2
