procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 3932652   2268  13048    0    0   390  1263   83   60  0 11 87  1
 1  0      0 3910616   2936  25560    0    0  1476   340  703  681  1 11 89  0
 1  0      0 3910088   2956  25700    0    0     0   300  601  511  0 11 89  0
 0  0      0 3909840   2976  26000    0    0     0   240  579  524  0 12 88  0
 0  0      0 3909600   2996  26300    0    0     0   300  587  531  0 11 88  0
 1  0      0 3909004   3028  26504    0    0     0   396  558  480  0 12 87  0
 0  0      0 3908640   3060  26900    0    0     8  1808  592  529  0 10 90  0
 0  0      0 3908220   3080  27160    0    0     0   300  616  586  0  9 90  0
 0  0      0 3907980   3104  27500    0    0     0   300  587  516  0 11 89  0
 1  0      0 3919256   3124  16624    0    0     0   300  565  482  0 11 89  0
 1  0      0 3907344   3148  28040    0    0     0   332  582  502  0 11 89  0
 0  0      0 3906972   3180  28336    0    0     4  1868  596  536  0 11 88  0
 0  0      0 3906772   3200  28640    0    0     0   300  548  458  0 11 89  0
 1  0      0 3906344   3220  29032    0    0     0   300  586  518  0 11 89  0
 1  0      0 3905864   3236  29200    0    0     0   300  591  516  0 10 89  0
 1  0      0 3905732   3268  29496    0    0     0   332  589  528  0 11 89  0
 1  0      0 3905320   3296  29784    0    0     4  1932  595  520  0 11 88  0
 0  0      0 3905212   3316  30080    0    0     0   240  563  515  0 12 88  0
 0  0      0 3904840   3340  30492    0    0     0   300  587  528  0 11 89  0
 0  0      0 3904452   3360  30680    0    0     0   300  577  519  0 10 90  0
 0  0      0 3904080   3388  30980    0    0     0   332  597  523  0 10 90  0
