date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-08-03_14-13-55,append,200KB,100,1,yuiha,176196,197544,21348,===
2024-08-03_14-13-55,append,200KB,100,2,yuiha,176196,196644,20448,===
2024-08-03_14-13-55,append,200KB,100,4,yuiha,176196,196184,19988,===
2024-08-03_14-13-55,append,200KB,100,200,yuiha,176196,195752,19556,===
2024-08-03_14-13-55,append,400KB,100,1,yuiha,176196,217136,40940,===
2024-08-03_14-13-55,append,400KB,100,2,yuiha,176196,216244,40048,===
2024-08-03_14-13-55,append,400KB,100,4,yuiha,176196,215768,39572,===
2024-08-03_14-13-55,append,400KB,100,200,yuiha,176196,215304,39108,===
2024-08-03_14-13-55,append,800KB,100,1,yuiha,176196,256220,80024,===
2024-08-03_14-13-55,append,800KB,100,2,yuiha,176196,255356,79160,===
2024-08-03_14-13-55,append,800KB,100,4,yuiha,176196,254880,78684,===
2024-08-03_14-13-55,append,800KB,100,200,yuiha,176196,254408,78212,===
2024-08-03_14-13-55,append,1600KB,100,1,yuiha,176196,334300,158104,===
2024-08-03_14-13-55,append,1600KB,100,2,yuiha,176196,333576,157380,===
2024-08-03_14-13-55,append,1600KB,100,4,yuiha,176196,333076,156880,===
2024-08-03_14-13-55,append,1600KB,100,200,yuiha,176196,332608,156412,===
2024-08-03_14-13-55,seq,60k,100,1,yuiha,176196,182992,6796,905308.160000
2024-08-03_14-13-55,seq,60k,100,2,yuiha,176196,179592,3396,1434101.760000
2024-08-03_14-13-55,seq,60k,100,4,yuiha,176196,177892,1696,1563064.320000
2024-08-03_14-13-55,seq,60k,100,200,yuiha,176196,176260,64,2506106.880000
2024-08-03_14-13-55,seq,250k,100,1,yuiha,176196,202192,25996,1318717.440000
2024-08-03_14-13-55,seq,250k,100,2,yuiha,176196,189192,12996,2363320.320000
2024-08-03_14-13-55,seq,250k,100,4,yuiha,176196,182692,6496,2695639.040000
2024-08-03_14-13-55,seq,250k,100,200,yuiha,176196,176452,256,4592906.240000
2024-08-03_14-13-55,seq,1000k,100,1,yuiha,176196,276992,100796,6176768.000000
2024-08-03_14-13-55,seq,1000k,100,2,yuiha,176196,226592,50396,3041443.840000
2024-08-03_14-13-55,seq,1000k,100,4,yuiha,176196,201392,25196,3582361.600000
2024-08-03_14-13-55,seq,1000k,100,200,yuiha,176196,177200,1004,6898411.520000
2024-08-03_14-13-55,seq,4000k,100,1,yuiha,176196,576988,400792,7826483.200000
2024-08-03_14-13-55,seq,4000k,100,2,yuiha,176196,376588,200392,13351505.920000
2024-08-03_14-13-55,seq,4000k,100,4,yuiha,176196,276392,100196,25063997.440000
2024-08-03_14-13-55,seq,4000k,100,200,yuiha,176196,180200,4004,3733248.000000
