procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  1      0 3936664   2512   8764    0    0   471   923   49   47  0  2 96  1
 1  0      0 3935608    152   4080    0    0  2864  1012  578  496  1  9 88  2
 1  0      0 3935384    140   4596    0    0  1216   876  407  262  0 12 86  1
 0  0      0 3935392    140   4476    0    0  2172   876  489  378  0 16 83  1
 0  0      0 3935392    140   4632    0    0  2160   864  486  375  1 15 84  0
 0  0      0 3935328    140   4448    0    0  2160   876  484  371  0 16 83  1
 1  0      0 3935320    140   4248    0    0  2056   484  474  358  0 13 85  1
 0  0      0 3935336    148   4608    0    0   112   440  156  108  0  2 73 24
 0  0      0 3935196    148   4416    0    0  2180   884  520  382  1 16 82  1
 1  0      0 3935196    140   4364    0    0  2064   476  486  362  0 15 84  1
 1  0      0 3935452    136   4132    0    0  2176   904  492  386  0 13 85  1
 1  0      0 3935692    136   4060    0    0  2176   900  497  387  1 14 84  0
 0  0      0 3935080    160   4616    0    0  1200   872  421  264  1 16 83  1
 1  0      0 3934956    152   4464    0    0  2056   488  476  354  1 16 82  1
 1  0      0 3935112    148   4288    0    0  2184   900  501  389  0 14 85  1
 1  0      0 3935428    148   4144    0    0  2168   904  490  396  1 12 86  1
 0  0      0 3935328    148   4628    0    0  1212   880  402  253  0 16 83  1
 0  0      0 3935204    148   4488    0    0  2176   900  503  380  0 16 83  1
 1  0      0 3935360    144   4212    0    0  2064   480  474  365  0 14 85  0
 1  0      0 3935724    144   3976    0    0  2172   904  486  384  0 12 86  1
 0  0      0 3926996    160  12828    0    0  1192   880 1172  352  0 19 79  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3926572    152  12624    0    0  2080   472  486  353  0 16 82  2
 1  0      0 3926664    148  12488    0    0  2168   900  488  387  0 14 84  1
 1  0      0 3926912    148  12328    0    0  2184   904  497  385  0 15 84  2
 1  0      0 3926980    156  12328    0    0  2168   900  519  392  0 14 84  1
 0  0      0 3926756    148  12712    0    0  1212   908  437  263  0 14 85  1
 0  0      0 3926748    148  12676    0    0  2176   884  510  384  0 16 82  1
 1  0      0 3926756    140  12404    0    0  2068   476  479  363  0 14 84  1
 1  0      0 3927112    136  12176    0    0  2176   904  489  383  1 12 85  1
 0  0      0 3926656    160  12744    0    0  1192   900  445  273  0 16 84  0
 1  0      0 3926540    156  12772    0    0  2072   444  478  348  0 16 82  2
 1  0      0 3926788    148  12488    0    0  2168   908  496  386  0 14 84  1
 1  0      0 3926988    148  12328    0    0  2184   900  501  384  0 13 85  2
 0  1      0 3926656    148  13024    0    0  1476   904  443  293  0 14 85  1
 0  0      0 3926820    148  12704    0    0  1904   880  485  348  1 16 82  1
 1  0      0 3926756    156  12536    0    0  2152   480  497  401  1 16 82  1
 1  0      0 3926880    140  12268    0    0  2168   900  488  387  0 13 86  1
 1  0      0 3927120    144  12076    0    0  2180   904  492  378  0 14 84  1
 0  0      0 3926508    160  12644    0    0  1208   908  430  271  0 16 83  1
 0  0      0 3926632    160  12820    0    0  2176   876  498  380  0 17 82  1
 1  0      0 3926780    152  12376    0    0  2064   468  477  357  1 14 84  1
 1  0      0 3926788    152  12344    0    0  2180   904  542  401  0 13 85  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 3926640    152  12736    0    0  1196   916  400  259  0 15 84  0
 0  0      0 3926740    172  12800    0    0  2440   880  510  385  0 16 81  2
 1  0      0 3926864    164  12244    0    0  2072   480  473  363  1 13 85  1
 0  1      0 3925864    184  13536    0    0  1916   900  471  363  0 14 85  0
 0  0      0 3926492    184  12788    0    0  1472   876  456  301  0 17 82  1
 1  0      0 3926608    176  12608    0    0  2064   468  479  353  1 13 85  1
 1  0      0 3926856    176  12336    0    0  2176   904  501  387  0 13 85  1
 0  0      0 3926616    172  12716    0    0  1196   908  405  260  0 14 85  1
 1  0      0 3918680    172  20832    0    0  2168   880  797  414  0 19 80  1
 1  0      0 3918712    164  20804    0    0  2080   480  728  378  0 16 83  1
 1  0      0 3918960    160  20436    0    0  2168   900  504  386  0 13 85  2
 0  0      0 3918620    184  20956    0    0  1216   904  429  273  0 15 85  1
 0  0      0 3918464    188  20936    0    0  2176   876  513  386  0 16 82  1
 1  0      0 3918556    172  20920    0    0  2172   864  509  377  0 16 80  3
 1  0      0 3918424    176  20728    0    0  2064   508  497  366  0 14 84  2
