procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 3140332   4140 116904    0    0   286  1638  101   81  0 14 85  1
 1  0      0 3115524   4156 128356    0    0     4  8040  525  351  0 19 81  0
 1  0      0 3105512   4156 138480    0    0     0  8000  498  384  1 20 78  1
 0  0      0 3105224   4168 142064    0    0  4000  4072 1442 2380  0 15 74 11
 3  1      0 3096924   4168 146668    0    0     0 12000  512  356  1 17 83  0
 1  0      0 3090880   4172 152200    0    0  2356  4000 1054 1499  0 21 72  6
 0  0      0 3094196   4184 152952    0    0     4  9680  496  417  1 16 83  0
 1  0      0 3086656   4188 156504    0    0   568  7996  558  584  1 20 77  2
 1  0      0 3088624   4188 154768    0    0     0 12000  513  396  1 15 85  0
 1  0      0 3085052   4200 157836    0    0  3244  4032 1247 1945  0 17 74  8
 0  0      0 3088004   4200 158772    0    0   120  8000  472  413  1 19 80  1
 1  0      0 3084308   4216 158604    0    0  2148 12356 1011 1440  1 17 76  6
 1  0      0 3082804   4216 160432    0    0  1852  7996  936 1277  1 14 79  5
 0  1      0 3083068   4220 159772    0    0  1556  8000  855 1140  1 17 77  5
 1  0      0 3081656   4228 161532    0    0  2372  8032 1044 1543  0 17 77  7
 1  0      0 3081432   4232 161292    0    0   500  8000  614  616  1 16 81  2
 0  0      0 3081292   4240 165324    0    0  2012  5608  956 1368  0 18 79  3
 1  0      0 3079092   4240 163360    0    0    48 11992  522  379  2 17 80  0
 0  0      0 3078448   4244 168252    0    0  2208  4000  986 1479  0 19 75  6
 0  0      0 3078424   4252 168476    0    0     0  8032  489  359  1 17 81  0
 1  0      0 3071404   4256 171188    0    0  2108  8000  953 1361  0 18 76  6
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3073256   4268 169204    0    0   344 15672  597  581  1 15 82  2
 0  0      0 3072480   4268 173844    0    0  2380  4000 1044 1545  0 18 76  6
 1  0      0 3070528   4272 171832    0    0    88 12000  530  407  1 16 82  1
 0  0      0 3069628   4280 176680    0    0  2264  4032 1021 1504  0 18 74  8
 1  1      0 3067288   4284 174908    0    0   264 12000  567  480  1 16 82  1
 1  0      0 3063584   4292 178740    0    0  2144  8556  967 1389  1 21 73  6
 1  0      0 3062964   4296 179256    0    0   324 12000  602  557  0 15 85  0
 0  0      0 3063204   4296 182952    0    0   244  4032  541  485  0 20 79  0
 1  0      0 3059856   4308 181976    0    0   696 12032  653  697  1 16 79  4
 1  0      0 3058740   4308 185744    0    0  1652  4060  861 1180  0 16 79  4
 0  1      0 3057616   4320 184360    0    0   472 17120  602  604  1 18 79  2
 0  0      0 3048688   4320 196792    0    0  1864  4000  920 1317  0 19 76  5
 0  0      0 3048844   4320 196712    0    0     0  8000  960  388  0 20 80  0
 1  0      0 3042148   4332 199528    0    0   568  8032  553  581  0 19 79  2
 1  0      0 3043652   4332 198344    0    0     0 10852  518  355  0 18 82  0
 1  0      0 3039584   4344 201820    0    0  3652 10868 1320 2146  0 17 73  9
 1  0      0 3039792   4344 202180    0    0   348 10268  582  562  1 15 83  1
 1  0      0 3035708   4348 205420    0    0   568  8000 1103  663  1 20 78  1
 1  0      0 3037080   4356 204592    0    0     0  8032  455  354  2 18 80  0
 1  0      0 3032764   4360 208196    0    0  2472  5748 1087 1545  0 18 76  6
 0  0      0 3027996   4368 217136    0    0     0 13892  541  433  1 17 82  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3020348   4372 220636    0    0   568  7104  553  596  1 21 76  2
 1  0      0 3021084   4372 220732    0    0     0  4000  440  322  0 22 78  0
 1  0      0 3023556   4380 218312    0    0     0  4032  441  314  0 21 78  0
 1  0      0 3021596   4380 220100    0    0     0  3952  596  272  0 21 79  0
 1  0      0 3020960   4388 220776    0    0     0  8788  431  315  0 22 78  0
 1  0      0 3020480   4396 220632    0    0   812  2676  611  725  0 19 77  4
 1  0      0 3018992   4396 222144    0    0   512     0  497  524  0 24 74  2
 1  0      0 3017504   4396 223556    0    0     4     0  388  268  0 25 75  0
 1  0      0 3011140   4396 229952    0    0     0  7320  501  338  0 19 81  0
 1  0      0 3001376   4412 240260    0    0     0  5300  475  316  0 26 73  2
 1  0      0 3002088   4412 239376    0    0     0  1436  391  303  0 22 78  0
 1  0      0 3003692   4412 237508    0    0     0  4000  406  311  0 21 78  0
