procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 3892584   3104  17868    0    0   366  1490   88   65  0 11 87  1
 1  0      0 3871464   3124  29524    0    0     8  1048  553  463  1 14 85  0
 0  0      0 3871216   3132  30076    0    0     0   756  539  457  0 13 87  0
 2  0      0 3870596   3144  30508    0    0     0  1008  497  405  0 15 85  0
 0  0      0 3870464   3156  30824    0    0     0   828  534  467  0 14 85  0
 0  0      0 3869844   3164  31336    0    0     0  1020  534  469  0 15 85  0
 0  0      0 3869472   3184  31872    0    0     8  3340  569  467  0 14 85  0
 1  0      0 3868736   3192  32344    0    0     0  1008  498  398  0 14 86  0
 0  0      0 3868348   3200  32848    0    0     0   756  532  467  0 14 85  0
 1  0      0 3867364   3216  33256    0    0     0  1040  511  415  0 14 86  0
 2  0      0 3867248   3220  33556    0    0     0  1008  533  453  0 13 87  0
 0  0      0 3867000   3236  34044    0    0   104  3084  559  516  0 13 84  2
 1  0      0 3866512   3248  34516    0    0     0  1008  516  400  1 15 85  0
 0  0      0 3865976   3256  35024    0    0     0   756  550  469  1 15 84  0
 1  0      0 3857072   3272  43644    0    0     0  1040  547  424  0 15 85  0
 2  0      0 3856700   3276  43944    0    0     0  1008  533  455  0 13 87  0
 0  0      0 3856436   3292  44264    0    0   252  2988  611  575  0 14 85  1
 0  0      0 3856072   3300  44736    0    0     0  1008  536  474  0 16 84  0
 1  0      0 3855452   3308  45240    0    0     0  1008  501  388  0 14 86  0
 0  0      0 3855080   3324  45736    0    0     0   788  545  471  0 15 84  1
 1  0      0 3854336   3332  46100    0    0     0  1008  499  397  1 14 86  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 3854080   3348  46488    0    0     0  2880  548  463  0 14 85  0
 1  0      0 3853452   3356  47004    0    0     0  1008  493  402  0 14 85  0
 0  0      0 3852948   3364  47508    0    0     0   756  532  460  0 14 85  0
 0  0      0 3852336   3380  47996    0    0     0  1040  525  412  1 15 84  0
 1  0      0 3851840   3388  48396    0    0     0  1008  534  461  0 14 86  0
 0  0      0 3843276   3400  56900    0    0     0  3144  558  487  1 14 85  1
 0  0      0 3842788   3408  57464    0    0     0  1008  514  407  0 16 84  0
