procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3720036    176  30560    0    0  7348  1224 1126 1485  0  3 97  1
 1  0      0 3720284    160  30016    0    0  7272  1224 1104 1432  1  2 96  1
 1  0      0 3720780    160  29580    0    0  7248  1244 1120 1459  0  3 96  1
 0  1      0 3721524    160  28904    0    0  7300  1224 1099 1445  1  3 95  1
 0  0      0 3721144    176  29344    0    0  7512  1448 1201 1540  0  2 97  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3716352   1684  32740    0    0   341  9537  126  132  1  2 94  3
 0  0      0 3720648    184  29672    0    0  9476  2824 2003 2260  1  4 94  2
 1  0      0 3720944    180  29856    0    0  6544  1856  993 1456  2  2 96  1
 0  0      0 3720836    196  29732    0    0  7952  2328 1255 1683  1  3 95  1
 0  0      0 3720912    200  29760    0    0  8160  2296 1308 1863  2  3 94  1
 0  0      0 3721060    200  29712    0    0  8160  2328 1263 1540  2  2 95  1
 0  0      0 3721052    200  29652    0    0  8056  2320 1314 1381  1  3 95  1
 0  0      0 3720944    200  29696    0    0  8016  2316 1222 1500  1  3 95  1
 0  0      0 3720928    200  29660    0    0  8152  2324 1374 1963  2  3 94  1
 1  1      0 3721796    168  29044    0    0  7728  1896 1144 1375  2  2 95  0
 0  0      0 3720820    200  29744    0    0  6624  2324 1177 1532  2  3 95  1
 0  0      0 3720804    216  29700    0    0 10412  2300 1896 1846  2  3 95  0
 0  0      0 3720936    200  29632    0    0  7980  2320 1259 1609  1  3 95  1
 0  0      0 3720944    204  29692    0    0  7976  2324 1207 1469  2  2 95  0
 1  0      0 3721068    192  29416    0    0  7936  1884 1149 1700  2  2 95  1
 0  0      0 3720836    200  29736    0    0  6748  2320 1217 1689  1  3 95  1
 0  0      0 3721092    200  29744    0    0  7984  2360 1218 1636  1  2 95  1
 0  0      0 3720928    200  29728    0    0  7936  2320 1333 1798  1  3 94  1
 0  0      0 3720912    200  29772    0    0  7936  2300 1248 1791  0  4 95  1
