date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-07-26_15-16-25,append,200KB,100,1,yuiha,192248,213588,21340,
2024-07-26_15-16-25,append,200KB,100,2,yuiha,192248,212704,20456,
2024-07-26_15-16-25,append,200KB,100,4,yuiha,192248,212236,19988,
2024-07-26_15-16-25,append,200KB,100,200,yuiha,192248,211804,19556,
2024-07-26_15-16-25,append,400KB,100,1,yuiha,192248,233196,40948,
2024-07-26_15-16-25,append,400KB,100,2,yuiha,192248,232296,40048,
2024-07-26_15-16-25,append,400KB,100,4,yuiha,192248,231820,39572,
2024-07-26_15-16-25,append,400KB,100,200,yuiha,192248,231356,39108,
2024-07-26_15-16-25,append,800KB,100,1,yuiha,192248,272280,80032,
2024-07-26_15-16-25,append,800KB,100,2,yuiha,192248,271424,79176,
2024-07-26_15-16-25,append,800KB,100,4,yuiha,192248,270928,78680,
2024-07-26_15-16-25,append,800KB,100,200,yuiha,192248,270460,78212,
2024-07-26_15-16-25,append,1600KB,100,1,yuiha,192248,350376,158128,
2024-07-26_15-16-25,append,1600KB,100,2,yuiha,192248,349624,157376,
2024-07-26_15-16-25,append,1600KB,100,4,yuiha,192248,349128,156880,
2024-07-26_15-16-25,append,1600KB,100,200,yuiha,192248,348660,156412,
