procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 2558932 129420 948656    0    0     0  1512  878 1280  4  5 91  0
 0  0      0 2559104 129452 948656    0    0     0  1764  955 1327  2  5 93  0
 1  0      0 2559320 129476 948564    0    0     0  1512  906 1406  4  5 91  0
 0  1      0 2558552 129504 948672    0    0     0  1460  855 1239  2  5 91  3
 1  0      0 2558940 129536 948664    0    0     0  1768  987 1412  2  7 89  2
 0  0      0 2558800 129560 948692    0    0     0  1512  904 1376  3  4 93  0
 1  0      0 2569728 129592 938008    0    0     0  2032 1043 1400  3  5 91  0
 1  0      0 2558932 129616 948700    0    0     0  1512  911 1346  4  4 92  0
 0  1      0 2559140 129644 948440    0    0     0  1468  841 1208  4  5 87  4
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 5  0      0 2568876 129184 937480    0    0  1236 14260  143  309  2  4 90  5
 1  1      0 2569748 129212 937452    0    0    12  1644  904 1356  3  5 87  5
 0  0      0 2558332 129228 948664    0    0     0  1512  911 1354  3  5 92  0
 0  0      0 2558100 129244 948668    0    0     0  1764  958 1322  4  3 93  0
 0  0      0 2558076 129256 948624    0    0     0  1512  906 1401  4  5 91  0
 0  0      0 2558572 129268 948456    0    0     0  1512  902 1311  3  5 92  0
 1  1      0 2567500 129292 939636    0    0     4  1652  893 1228  2  6 88  4
 0  0      0 2558480 129308 948692    0    0     0  1512  907 1342  4  4 92  0
 2  0      0 2569368 129320 937396    0    0     0  1764  946 1322  3  4 93  0
 0  0      0 2558448 129332 948532    0    0     0  1512  926 1394  4  4 92  0
 0  0      0 2558364 129348 948676    0    0     0  1764  939 1276  4  4 92  0
 0  1      0 2558604 129364 948492    0    0     0  1400  867 1333  3  5 87  5
 0  0      0 2558084 129380 948672    0    0     0  1512  871 1262  2  4 93  0
 1  0      0 2569516 129396 937556    0    0     0  1764  959 1329  4  6 90  0
 1  0      0 2558116 129408 948688    0    0     0  1512  906 1330  3  6 91  0
 0  0      0 2558200 129420 948660    0    0     0  1652  951 1355  3  5 92  0
 1  1      0 2561248 129440 945676    0    0     0  1660  899 1260  3  5 86  5
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 2568648 129184 937376    0    0  1124 15140  153  308  2  4 90  5
 0  1      0 2558312 129208 948676    0    0    16  1640  834 1284  3  4 93  1
 0  0      0 2558212 129212 948684    0    0     0  1516  974 1456  4  3 88  4
 0  0      0 2557888 129220 948684    0    0     0  1764  998 1737  2  5 93  0
 0  0      0 2558104 129232 948684    0    0     0  1512  925 1424  4  5 91  0
 0  0      0 2557956 129236 948468    0    0     0  1512  908 1414  3  4 93  0
