date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-07-26_18-01-43,seq,60k,100,1,yuiha,192248,199044,6796,61663703.040000
2024-07-26_18-01-43,seq,60k,100,2,yuiha,192248,195644,3396,61974558.720000
2024-07-26_18-01-43,seq,60k,100,4,yuiha,192248,193944,1696,61663703.040000
2024-07-26_18-01-43,seq,60k,100,200,yuiha,192248,192312,64,62289131.520000
2024-07-26_18-01-43,seq,250k,100,1,yuiha,192248,218244,25996,116247808.000000
2024-07-26_18-01-43,seq,250k,100,2,yuiha,192248,205244,12996,124111902.720000
2024-07-26_18-01-43,seq,250k,100,4,yuiha,192248,198744,6496,128919388.160000
2024-07-26_18-01-43,seq,250k,100,200,yuiha,192248,192504,256,131102126.080000
2024-07-26_18-01-43,seq,1000k,100,1,yuiha,192248,293044,100796,168654376.960000
2024-07-26_18-01-43,seq,1000k,100,2,yuiha,192248,242644,50396,209898506.240000
2024-07-26_18-01-43,seq,1000k,100,4,yuiha,192248,217444,25196,237400586.240000
2024-07-26_18-01-43,seq,1000k,100,200,yuiha,192248,193252,1004,247606999.040000
2024-07-26_18-01-43,seq,4000k,100,1,yuiha,192248,593044,400796,763205089.280000
2024-07-26_18-01-43,seq,4000k,100,2,yuiha,192248,392640,200392,1057889372.160000
2024-07-26_18-01-43,seq,4000k,100,4,yuiha,192248,292444,100196,1190414776.320000
2024-07-26_18-01-43,seq,4000k,100,200,yuiha,192248,196252,4004,1317552302.080000
