date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-07-23_16-45-07,seq,250k,100,1,yuiha,192248,218244,25996,53040465.920000
2024-07-23_16-45-07,seq,250k,100,2,yuiha,192248,205244,12996,67633018.880000
2024-07-23_16-45-07,seq,250k,100,5,yuiha,192248,197444,5196,76589527.040000
2024-07-23_16-45-07,seq,250k,100,10,yuiha,192248,194844,2596,78788515.840000
2024-07-23_16-45-07,seq,1000k,100,1,yuiha,192248,293044,100796,77171302.400000
2024-07-23_16-45-07,seq,1000k,100,2,yuiha,192248,242644,50396,97395087.360000
2024-07-23_16-45-07,seq,1000k,100,5,yuiha,192248,212404,20156,102992824.320000
2024-07-23_16-45-07,seq,1000k,100,10,yuiha,192248,202324,10076,101882296.320000
