date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-07-21_01-07-44,append,200KB,100,1,yuiha,176196,197536,21340,
2024-07-21_01-07-44,append,200KB,100,2,yuiha,176196,196644,20448,
2024-07-21_01-07-44,append,200KB,100,5,yuiha,176196,196100,19904,
2024-07-21_01-07-44,append,200KB,100,10,yuiha,176196,195916,19720,
2024-07-21_01-07-44,append,400KB,100,1,yuiha,176196,217132,40936,
2024-07-21_01-07-44,append,400KB,100,2,yuiha,176196,216236,40040,
2024-07-21_01-07-44,append,400KB,100,5,yuiha,176196,215668,39472,
2024-07-21_01-07-44,append,400KB,100,10,yuiha,176196,215476,39280,
2024-07-21_01-07-44,append,800KB,100,1,yuiha,176196,256216,80020,
2024-07-21_01-07-44,append,800KB,100,2,yuiha,176196,255356,79160,
2024-07-21_01-07-44,append,800KB,100,5,yuiha,176196,254780,78584,
2024-07-21_01-07-44,append,800KB,100,10,yuiha,176196,254588,78392,
2024-07-21_01-07-44,append,1600KB,100,1,yuiha,176196,334320,158124,
2024-07-21_01-07-44,append,1600KB,100,2,yuiha,176196,333580,157384,
2024-07-21_01-07-44,append,1600KB,100,5,yuiha,176196,332988,156792,
2024-07-21_01-07-44,append,1600KB,100,10,yuiha,176196,332788,156592,
2024-07-21_01-16-26,seq,60k,100,1,yuiha,176196,182992,6796,31981568.000000
2024-07-21_01-16-26,seq,60k,100,2,yuiha,176196,179592,3396,47395635.200000
2024-07-21_01-16-26,seq,60k,100,5,yuiha,176196,177552,1356,56203673.600000
2024-07-21_01-16-26,seq,60k,100,10,yuiha,176196,176872,676,58929971.200000
2024-07-21_01-16-26,seq,250k,100,1,yuiha,176196,202192,25996,58308300.800000
2024-07-21_01-16-26,seq,250k,100,2,yuiha,176196,189192,12996,84672430.080000
2024-07-21_01-16-26,seq,250k,100,5,yuiha,176196,181392,5196,108046929.920000
2024-07-21_01-16-26,seq,250k,100,10,yuiha,176196,178792,2596,115064350.720000
2024-07-21_01-16-26,seq,1000k,100,1,yuiha,176196,276992,100796,140185733.120000
2024-07-21_01-16-26,seq,1000k,100,2,yuiha,176196,226592,50396,229099243.520000
2024-07-21_01-16-26,seq,1000k,100,5,yuiha,176196,196352,20156,240171694.080000
2024-07-21_01-16-26,seq,1000k,100,10,yuiha,176196,186272,10076,265360404.480000
2024-07-21_01-16-26,seq,4000k,100,1,yuiha,176196,576992,400796,192253941.760000
2024-07-21_01-16-26,seq,4000k,100,2,yuiha,176196,376588,200392,320270131.200000
2024-07-21_01-16-26,seq,4000k,100,5,yuiha,176196,256352,80156,371082557.440000
2024-07-21_01-16-26,seq,4000k,100,10,yuiha,176196,216272,40076,357296691.200000
