procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3918796   1764  27368    0    0   622  2165   69   69  0  1 97  2
 0  0      0 3905960   2452  39244    0    0  1296   400  667  558  1  6 93  0
 0  0      0 3905960   2480  39272    0    0     0   420  597  458  1  5 93  0
 1  0      0 3909664   2504  34980    0    0     0   360  583  458  2  8 90  0
 1  0      0 3913260   2532  32280    0    0     0   360  614  503  2  7 91  0
 0  0      0 3905688   2564  39268    0    0     0   460  616  473  1  7 91  0
 0  0      0 3905696   2604  39276    0    0     4   516  582  464  0  7 93  0
 0  0      0 3905540   2632  39272    0    0     0   420  617  460  1  7 92  0
 1  0      0 3916212   2656  29080    0    0     0   360  625  510  1  8 91  0
 1  0      0 3914964   2684  30092    0    0     0   360  590  449  1  8 90  0
 0  0      0 3905400   2712  39268    0    0     0   336  552  395  1  7 91  0
 1  0      0 3915956   2748  29120    0    0     0   580  646  523  1  7 92  0
 0  0      0 3905392   2776  39256    0    0     0   360  591  456  0  8 92  0
 0  0      0 3905392   2800  39276    0    0     0   360  591  453  1  6 93  0
 0  0      0 3905260   2828  39192    0    0     0   360  604  454  1  9 90  0
 0  0      0 3905408   2860  39188    0    0     0   396  596  460  2  8 90  0
 0  0      0 3905260   2892  39268    0    0     0   520  577  465  1  8 91  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3916896   2416  27952    0    0   612  2238   70   69  0  2 97  2
 0  0      0 3905864   2448  39376    0    0    12   400  614  513  2  8 90  0
 0  0      0 3905640   2464  39284    0    0     0   360  585  443  1  6 93  0
 0  0      0 3905540   2480  39288    0    0     0   420  573  447  1  8 91  0
 1  0      0 3905888   2500  39280    0    0     0   452  633  518  2  6 91  0
 0  0      0 3905664   2512  39204    0    0     0   360  580  447  1  6 93  0
 0  0      0 3905764   2536  39288    0    0     4   448  592  463  1  5 94  0
 0  0      0 3905656   2552  39284    0    0     0   420  619  506  0  5 94  0
 0  0      0 3905756   2564  39292    0    0     0   360  588  429  0  6 94  0
 1  0      0 3905632   2588  39280    0    0     0   456  593  449  1  6 92  0
 1  0      0 3913956   2600  31444    0    0     0   360  599  480  2  7 91  0
 0  0      0 3905376   2620  39288    0    0     0   456  585  453  0  6 94  0
