procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 2842504  16984 957632    0    0   644   103   60  101  1  0 98  1
 0  0      0 3827260    164   6272    0    0  4404  1424 1395 1778  1  4 92  3
 0  0      0 3827612    168   6164    0    0  5176  1556 1300 2079  2  3 93  2
 0  0      0 3827488    172   6128    0    0  5136  1528 1320 2308  1  1 96  2
 0  0      0 3827316    180   6212    0    0  5236  1600 1357 1965  2  2 94  3
 0  0      0 3827440    196   6124    0    0  5508  1600 1427 1950  1  2 95  2
 0  0      0 3827440    188   6132    0    0  5336  1596 1381 2119  2  2 94  2
 0  0      0 3827480    176   6160    0    0  5152  1600 1323 1908  1  2 95  2
 0  0      0 3827480    180   6148    0    0  5156  1608 1338 1919  0  2 95  2
 0  0      0 3827300    180   6144    0    0  5144  1600 1338 1920  1  1 95  2
 0  0      0 3827448    192   6144    0    0  7196  1836 1782 2142  2  2 94  2
 0  0      0 3827572    192   6204    0    0  5132  1624 1262 1677  2  2 94  2
 0  0      0 3827812    192   6144    0    0  5140  1600 1257 1680  3  2 94  1
 0  0      0 3827812    192   6176    0    0  5140  1600 1261 1683  2  3 94  2
 0  0      0 3827812    192   6208    0    0  5140  1600 1256 1678  2  3 94  2
 0  0      0 3827796    192   6152    0    0  5272  1580 1317 1830  2  2 93  3
 0  0      0 3827736    184   6200    0    0  4448  1364 1194 2010  1  2 92  5
 0  0      0 3827656    188   6120    0    0  4552  1336 1131 1673  1  1 95  3
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3824256   1508   8080    0    0   619   102   63  103  0  0 98  1
 0  0      0 3827876    164   6116    0    0  4072  1628 1259 2249  1  4 92  4
 0  0      0 3827868    172   6120    0    0  4332  1280 1111 2087  1  2 94  3
 0  0      0 3828000    172   6124    0    0  4304  1296 1082 1870  2  2 94  3
 1  0      0 3827984    176   6212    0    0  6040  1780 1441 2084  2  2 92  4
 0  0      0 3827984    184   6120    0    0  5216  1580 1257 1713  1  2 94  3
 0  0      0 3827968    184   6200    0    0  5196  1548 1243 1747  1  3 94  2
 0  0      0 3827968    176   6128    0    0  5164  1552 1292 2154  1  3 94  2
 0  0      0 3828008    168   6116    0    0  4280  1300 1118 1988  0  1 93  5
 0  0      0 3828000    184   6132    0    0  4380  1304 1078 1647  0  1 99  1
 0  0      0 3828132    172   6132    0    0  4308  1288 1076 1658  1  2 94  2
 0  0      0 3827876    188   6172    0    0  4388  1308 1082 1662  1  2 94  3
 0  0      0 3827992    200   6152    0    0  5420  1300 1428 2028  0  1 97  1
 0  0      0 3827868    180   6156    0    0  5096  1552 1281 1886  0  2 95  2
 0  0      0 3828000    172   6104    0    0  5256  1552 1251 1924  1  3 92  4
 1  1      0 3828372    168   5780    0    0  5976  1552 1359 1963  0  3 94  2
 3  0      0 3828372    172   5788    0    0  5324  1560 1320 1894  1  3 93  3
 0  0      0 3827992    184   6112    0    0  4532  1552 1269 2018  1  3 94  2
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3824768   1300   8108    0    0   628   107   68  110  0  0 98  1
 0  0      0 3827372    188   6212    0    0  3828  1668 1244 2002  2  3 92  3
 0  0      0 3827288    172   6164    0    0  4972  1536 1303 1827  2  2 94  2
 0  0      0 3827256    164   6180    0    0  4900  1512 1262 1784  1  4 93  2
