date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-08-08_21-20-06,append,200KB,100,1,yuiha,176196,197536,21340,===
2024-08-08_21-20-06,append,400KB,100,1,yuiha,176196,217144,40948,===
2024-08-08_21-20-06,append,800KB,100,1,yuiha,176196,256220,80024,===
2024-08-08_21-20-06,append,1600KB,100,1,yuiha,176196,334300,158104,===
2024-08-08_21-20-06,seq,60k,100,1,yuiha,176196,182992,6796,16019240.960000
2024-08-08_21-20-06,seq,250k,100,1,yuiha,176196,202192,25996,21394728.960000
2024-08-08_21-20-06,seq,1000k,100,1,yuiha,176196,276992,100796,49786286.080000
2024-08-08_21-20-06,seq,4000k,100,1,yuiha,176196,576992,400796,58611251.200000
