procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 3937472   2412   8764    0    0   443   581   27   31  0  1 98  1
 0  2      0 3928032   2556   9732    0    0   292   840  190  186  0  1 56 44
 0  1      0 3934004    144   5852    0    0  4488  3444  818  853  1  4 80 14
 1  0      0 3934656    168   5104    0    0  3900  3404  740  727  1  6 90  2
 0  0      0 3934532    176   5088    0    0  5400  3408  788  803  2  6 88  5
 0  0      0 3934416    184   5068    0    0  5532  4212  912  949  1  7 87  5
 0  0      0 3934400    196   5056    0    0  4452  3400  777  784  1  5 89  5
 0  0      0 3926108    184  13120    0    0  4444  3404 1450  854  2  8 86  4
 0  2      0 3926216    180  13184    0    0  4464  3368  775  784  1  6 89  4
 0  0      0 3926092    184  13292    0    0  4412  3428  806  801  1  6 89  4
 0  0      0 3926092    188  13244    0    0  4452  3432  801  783  1  7 88  3
 1  0      0 3927348    164  12216    0    0  4176  2548  727  718  1  5 90  3
 0  0      0 3926100    196  13288    0    0  3588  3380  687  657  1  7 89  3
 0  0      0 3917924    200  21412    0    0  3344  2548 1214  782  1  8 87  4
 0  0      0 3909888    196  29644    0    0  3340  2568 1119  674  0  9 86  5
 0  0      0 3909848    180  29584    0    0  4436  3380  781  764  0  7 88  4
 0  0      0 3909732    184  29696    0    0  4412  3432  804  786  1  7 87  6
 1  0      0 3909756    176  29268    0    0  5448  2548  757  761  1  6 88  5
 0  0      0 3909756    196  29612    0    0  3452  3364  683  643  0  6 89  4
 0  0      0 3909756    192  29572    0    0  4416  3404  801  777  1  7 86  6
 0  0      0 3909756    200  29696    0    0  3352  2548  699  637  0  5 92  3
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 3909632    200  29640    0    0  3348  2556  658  613  0  5 90  4
 2  0      0 3909764    192  29640    0    0  3328  2552  692  619  1  4 90  4
 0  0      0 3909772    184  29576    0    0  3360  2540  755  624  0  5 89  5
 1  0      0 3910972    148  28540    0    0  4064  2584  725  716  1  6 89  4
 0  0      0 3909764    184  29556    0    0  3704  3368  703  680  1  6 88  5
 0  0      0 3909740    188  29596    0    0  3328  2584  671  625  0  5 90  4
 2  0      0 3909764    196  29652    0    0  3340  2556  650  620  1  6 91  3
 0  0      0 3909740    180  29640    0    0  4436  3356  770  773  1  7 88  5
