procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 3697516   2804  34792    0    0   557  2756  107  101  1  3 94  2
 0  0      0 3683952   2824  48028    0    0     4  6040  637  577  2  7 92  0
 0  0      0 3682752   2828  49028    0    0     0  6000  604  510  1  6 93  0
 0  0      0 3680396   2836  51000    0    0     0  6000  630  495  1  6 93  0
 0  0      0 3678552   2848  52832    0    0     0  7000  663  559  2  4 94  0
 1  0      0 3671888   2860  59792    0    0     0  6084  663  531  2  8 89  1
 1  0      0 3658704   2880  72540    0    0    16 13056  679  549  2  6 91  1
 2  0      0 3656720   2884  73344    0    0     0  7000  630  497  0  6 94  0
 0  0      0 3655348   2892  75392    0    0     0  5000  627  499  0  9 91  0
 0  0      0 3646188   2896  84456    0    0     0  6000  640  526  1  7 91  1
 0  0      0 3643840   2912  86480    0    0     0  6032  620  532  1  8 90  0
 0  0      0 3634780   2924  95736    0    0     0 14048 1050  561  1 10 89  0
 0  0      0 3632556   2932  97680    0    0     0  7000  619  514  1  5 94  0
 1  0      0 3630820   2936  98796    0    0     0  6000  594  505  1  7 91  0
 0  0      0 3629424   2948 100640    0    0   112  5000  665  558  1  9 90  0
 0  0      0 3628068   2960 101688    0    0    56  6032  641  542  0  6 93  1
 0  0      0 3626208   2976 103780    0    0     0 14896  677  583  1  8 92  0
