procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 3936644   2520   8936    0    0   498   969   46   48  0  1 97  1
 0  0      0 3934496    156   4584    0    0  2968  2000  723  717  1  4 92  3
 1  0      0 3935100    148   3892    0    0  4028  1352  672  689  1  6 92  2
 1  1      0 3934216    204   4812    0    0  3876  1908  706  692  1  6 91  3
 1  0      0 3934124    204   4768    0    0  5588  1876  770  790  1  5 91  3
 1  0      0 3934036    192   4652    0    0  5548  2280  836  911  2  5 89  4
 0  0      0 3934224    176   4612    0    0  4452  1904  769  780  1  5 91  3
 1  0      0 3934092    188   4320    0    0  5408  1836  834  887  1  5 90  3
 0  0      0 3934000    180   4820    0    0  4516  2276  772  783  1  6 91  2
 0  0      0 3933772    188   4760    0    0  4460  1832  728  754  1  5 92  2
 0  0      0 3934060    188   4712    0    0  3328  1372  612  587  0  4 94  2
 1  1      0 3925776    212  13012    0    0  3360  1456 1320  668  1  8 88  4
 1  0      0 3925100    192  13520    0    0  5120  1844  786  820  1  4 91  3
 0  0      0 3925652    184  13048    0    0  3752  1848  707  695  0  6 92  2
 1  1      0 3925892    176  12412    0    0  4328  1432  715  729  1  7 91  1
 0  0      0 3917336    208  21168    0    0  3480  1868 1171  750  0  6 89  4
 0  0      0 3917452    200  21164    0    0  4456  1816  744  756  0  5 92  3
 1  0      0 3917848    184  20692    0    0  4296  1420  699  725  1  5 92  2
 0  0      0 3917304    200  21120    0    0  3472  1852  661  637  1  4 93  2
 0  2      0 3917492    180  21180    0    0  3352  1352  616  596  1  4 83 12
 0  0      0 3917172    196  21200    0    0  1120   512  247  257  0  1 58 40
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3917884    168  20648    0    0  4248  1420  896  750  1  5 92  2
 0  0      0 3917256    188  21216    0    0  3524  1816  641  625  0  5 93  2
 0  0      0 3917304    188  21092    0    0  4436  1836  753  758  0  6 91  3
 1  0      0 3917040    200  21372    0    0  3440  1388  650  613  0  5 93  2
 0  0      0 3917296    196  21284    0    0  4376  1820  733  745  1  5 92  2
 0  0      0 3917412    192  21128    0    0  3340  1384  615  585  1  4 93  2
 0  0      0 3917164    208  21240    0    0  5532  2380  860  943  0  6 89  5
