date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-08-08_17-28-32,append,200KB,100,1,yuiha,176196,197792,21596,===
2024-08-08_17-28-32,append,200KB,100,2,yuiha,176196,196812,20616,===
2024-08-08_17-28-32,append,200KB,100,4,yuiha,176196,196304,20108,===
2024-08-08_17-28-32,append,200KB,100,200,yuiha,176196,195752,19556,===
2024-08-08_17-28-32,append,400KB,100,1,yuiha,176196,217468,41272,===
2024-08-08_17-28-32,append,400KB,100,2,yuiha,176196,216476,40280,===
2024-08-08_17-28-32,append,400KB,100,4,yuiha,176196,215884,39688,===
2024-08-08_17-28-32,append,400KB,100,200,yuiha,176196,215304,39108,===
2024-08-08_17-28-32,append,800KB,100,1,yuiha,176196,256588,80392,===
2024-08-08_17-28-32,append,800KB,100,2,yuiha,176196,255588,79392,===
2024-08-08_17-28-32,append,800KB,100,4,yuiha,176196,255028,78832,===
2024-08-08_17-28-32,append,800KB,100,200,yuiha,176196,254408,78212,===
2024-08-08_17-28-32,append,1600KB,100,1,yuiha,176196,334604,158408,===
2024-08-08_17-28-32,append,1600KB,100,2,yuiha,176196,333764,157568,===
2024-08-08_17-28-32,append,1600KB,100,4,yuiha,176196,333240,157044,===
2024-08-08_17-28-32,append,1600KB,100,200,yuiha,176196,332608,156412,===
2024-08-08_17-28-32,seq,60k,100,1,yuiha,176196,182992,6796,16122603.520000
2024-08-08_17-28-32,seq,60k,100,2,yuiha,176196,179592,3396,24316477.440000
2024-08-08_17-28-32,seq,60k,100,4,yuiha,176196,177892,1696,28633610.240000
2024-08-08_17-28-32,seq,60k,100,200,yuiha,176196,176260,64,51589939.200000
2024-08-08_17-28-32,seq,250k,100,1,yuiha,176196,202192,25996,23207014.400000
2024-08-08_17-28-32,seq,250k,100,2,yuiha,176196,189192,12996,38682081.280000
2024-08-08_17-28-32,seq,250k,100,4,yuiha,176196,182692,6496,45323223.040000
2024-08-08_17-28-32,seq,250k,100,200,yuiha,176196,176452,256,65383065.600000
2024-08-08_17-28-32,seq,1000k,100,1,yuiha,176196,276992,100796,42920284.160000
2024-08-08_17-28-32,seq,1000k,100,2,yuiha,176196,226592,50396,86772019.200000
2024-08-08_17-28-32,seq,1000k,100,4,yuiha,176196,201392,25196,100655769.600000
2024-08-08_17-28-32,seq,1000k,100,200,yuiha,176196,177200,1004,101633474.560000
2024-08-08_17-28-32,seq,4000k,100,1,yuiha,176196,576988,400792,47534643.200000
2024-08-08_17-28-32,seq,4000k,100,2,yuiha,176196,376588,200392,108655626.240000
2024-08-08_17-28-32,seq,4000k,100,4,yuiha,176196,276392,100196,120093972.480000
2024-08-08_17-28-32,seq,4000k,100,200,yuiha,176196,180200,4004,194220492.800000
