procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 3937940   2384   8084    0    0   394   382   18   22  0  0 99  1
 0  1      0 3928996   2540   8520    0    0   300   320  204  203  0  0 62 38
 1  1      0 3934712    156   5116    0    0  4464  1116  773  807  1  3 93  3
 1  0      0 3935440    160   4340    0    0  4828  1264  798  824  1  5 92  3
 0  0      0 3935348    176   4440    0    0  4436  1084  741  762  1  5 91  3
 0  0      0 3935240    164   4472    0    0  4392  1008  712  737  1  4 92  3
 0  0      0 3934944    200   4620    0    0  4484   780  650  619  1  4 94  2
 0  0      0 3935224    188   4516    0    0  5520  1308  838  904  1  5 89  4
 0  0      0 3934968    192   4468    0    0  4440  1060  746  764  1  3 92  3
 0  0      0 3935100    200   4644    0    0  3356   784  629  607  1  3 94  2
 1  1      0 3934432    196   5112    0    0  3952   844  657  672  1  4 92  2
 0  0      0 3934928    192   4416    0    0  3836  1056  696  700  1  3 93  3
 1  2      0 3934820    188   4444    0    0  4440  1076  712  750  2  5 90  3
 0  0      0 3934812    204   4612    0    0  3344   776  643  599  1  3 93  2
 0  0      0 3926544    176  12772    0    0  4448  1064 1314  935  1  9 84  5
 0  0      0 3926684    172  12632    0    0  3372   784  612  595  2  3 94  1
 0  0      0 3926676    176  12596    0    0  4452  1036  727  752  2  4 91  3
 0  0      0 3926560    200  12772    0    0  3372   768  624  602  1  5 93  1
 1  1      0 3925924    196  13328    0    0  4080   840  633  687  1  4 93  3
 0  0      0 3926684    188  12724    0    0  3752  1052  663  667  1  4 92  3
 1  0      0 3927032    156  12296    0    0  4340   864  684  732  0  4 92  3
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 3926560    200  12896    0    0  3484  1056  633  640  1  4 93  2
 0  0      0 3926652    188  12828    0    0  4480   992  697  747  1  5 92  2
 0  0      0 3926636    188  12732    0    0  3364   832  590  602  1  3 95  2
 0  0      0 3926504    172  12792    0    0  4472  1044  698  760  2  3 92  2
 1  1      0 3925628    192  13612    0    0  4084   792  646  681  2  3 93  2
 0  0      0 3926356    204  12828    0    0  3724  1060  656  669  1  5 92  3
 0  0      0 3926464    196  12844    0    0  4460  1032  701  763  1  4 91  3
 0  0      0 3926884    152  12808    0    0  3368   812  840  616  0  5 92  3
