date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-07-23_16-49-15,append,200KB,100,1,yuiha,192248,213588,21340,
2024-07-23_16-49-15,append,200KB,100,2,yuiha,192248,212696,20448,
2024-07-23_16-49-15,append,200KB,100,5,yuiha,192248,212140,19892,
2024-07-23_16-49-15,append,200KB,100,10,yuiha,192248,211968,19720,
2024-07-23_16-49-15,append,400KB,100,1,yuiha,192248,233184,40936,
2024-07-23_16-49-15,append,400KB,100,2,yuiha,192248,232288,40040,
2024-07-23_16-49-15,append,400KB,100,5,yuiha,192248,231720,39472,
2024-07-23_16-49-15,append,400KB,100,10,yuiha,192248,231528,39280,
2024-07-23_16-49-15,append,800KB,100,1,yuiha,192248,272268,80020,
2024-07-23_16-49-15,append,800KB,100,2,yuiha,192248,271424,79176,
2024-07-23_16-49-15,append,800KB,100,5,yuiha,192248,270832,78584,
2024-07-23_16-49-15,append,800KB,100,10,yuiha,192248,270640,78392,
2024-07-23_16-49-15,append,1600KB,100,1,yuiha,192248,350352,158104,
2024-07-23_16-49-15,append,1600KB,100,2,yuiha,192248,349624,157376,
2024-07-23_16-49-15,append,1600KB,100,5,yuiha,192248,349040,156792,
2024-07-23_16-49-15,append,1600KB,100,10,yuiha,192248,348840,156592,
2024-07-23_16-49-15,seq,60k,100,1,yuiha,192248,199044,6796,31460771.840000
2024-07-23_16-49-15,seq,60k,100,2,yuiha,192248,195644,3396,46874818.560000
2024-07-23_16-49-15,seq,60k,100,5,yuiha,192248,193604,1356,56311982.080000
2024-07-23_16-49-15,seq,60k,100,10,yuiha,192248,192924,676,59457751.040000
2024-07-23_16-49-15,seq,250k,100,1,yuiha,192248,218244,25996,52443033.600000
2024-07-23_16-49-15,seq,250k,100,2,yuiha,192248,205244,12996,67851479.040000
2024-07-23_16-49-15,seq,250k,100,5,yuiha,192248,197444,5196,76371077.120000
2024-07-23_16-49-15,seq,250k,100,10,yuiha,192248,194844,2596,77931294.720000
2024-07-23_16-49-15,seq,1000k,100,1,yuiha,192248,293044,100796,97204234.240000
2024-07-23_16-49-15,seq,1000k,100,2,yuiha,192248,242644,50396,99207311.360000
2024-07-23_16-49-15,seq,1000k,100,5,yuiha,192248,212404,20156,101396602.880000
2024-07-23_16-49-15,seq,1000k,100,10,yuiha,192248,202324,10076,97818675.200000
2024-07-23_16-49-15,seq,4000k,100,1,yuiha,192248,593044,400796,269525084.160000
2024-07-23_16-49-15,seq,4000k,100,2,yuiha,192248,392640,200392,442436577.280000
2024-07-23_16-49-15,seq,4000k,100,5,yuiha,192248,272404,80156,527609364.480000
2024-07-23_16-49-15,seq,4000k,100,10,yuiha,192248,232324,40076,559126732.800000
