date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-12-29_01-50-04,seq,500k,100,1,yuiha,176196,226992,50796,154907545.600000
2024-12-29_01-50-04,seq,500k,100,2,yuiha,176196,201592,25396,109994342.400000
2024-12-29_01-50-04,seq,500k,100,4,yuiha,176196,188892,12696,149936107.520000
2024-12-29_01-50-04,seq,500k,100,200,yuiha,176196,176700,504,185684746.240000
2024-12-29_01-50-04,seq,1000k,100,1,yuiha,176196,276992,100796,56808038.400000
2024-12-29_01-50-04,seq,1000k,100,2,yuiha,176196,226592,50396,141626685.440000
2024-12-29_01-50-04,seq,1000k,100,4,yuiha,176196,201392,25196,187048304.640000
2024-12-29_01-50-04,seq,1000k,100,200,yuiha,176196,177200,1004,254978723.840000
2024-12-29_01-50-04,seq,2000k,100,1,yuiha,176196,376988,200792,70104791.040000
2024-12-29_01-50-04,seq,2000k,100,2,yuiha,176196,276592,100396,235336857.600000
2024-12-29_01-50-04,seq,2000k,100,4,yuiha,176196,226392,50196,312055879.680000
2024-12-29_01-50-04,seq,2000k,100,200,yuiha,176196,178200,2004,386816163.840000
2024-12-29_01-50-04,seq,4000k,100,1,yuiha,176196,576988,400792,153665587.200000
2024-12-29_01-50-04,seq,4000k,100,2,yuiha,176196,376588,200392,585682124.800000
2024-12-29_01-50-04,seq,4000k,100,4,yuiha,176196,276392,100196,845556674.560000
2024-12-29_01-50-04,seq,4000k,100,200,yuiha,176196,180200,4004,1348928296.960000
2024-12-29_01-50-04,seq,8000k,100,1,yuiha,176196,978572,802376,185459343.360000
2024-12-29_01-50-04,seq,8000k,100,2,yuiha,176196,577380,401184,695444121.600000
2024-12-29_01-50-04,seq,8000k,100,4,yuiha,176196,376780,200584,959522621.440000
2024-12-29_01-50-04,seq,8000k,100,200,yuiha,176196,184208,8012,1378437376.000000
2024-12-29_01-50-04,seq,16000k,100,1,yuiha,176196,1780144,1603948,185579110.400000
2024-12-29_01-50-04,seq,16000k,100,2,yuiha,176196,978164,801968,732943319.040000
2024-12-29_01-50-04,seq,16000k,100,4,yuiha,176196,577168,400972,1010256414.720000
2024-12-29_01-50-04,seq,16000k,100,200,yuiha,176196,192216,16020,1528433930.240000
