procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3782056  17480  12252    0    0    24  1836  520 1269  3  4 93  0
 1  0      0 3784924  17480   9352    0    0    24  1532  507 1231  2  5 93  0
 0  0      0 3773524  17480  20568    0    0    24  1848  515 1236  2  5 93  0
 0  1      0 3773416  17484  20576    0    0    20  1564  479 1147  1  5 90  4
 0  0      0 3773292  17520  20564    0    0    24  1844  545 1284  2  6 91  1
 0  0      0 3773392  17568  20576    0    0    16  1848  524 1258  2  6 92  0
 0  0      0 3773260  17616  20612    0    0    24  1836  525 1280  2  5 93  0
 0  0      0 3773168  17664  20636    0    0    24  1836  529 1282  2  5 93  0
 1  1      0 3773268  17712  20616    0    0    20  1564  502 1173  3  4 89  5
 0  0      0 3784552  17764   9416    0    0    24  1852  492 1188  3  3 94  0
 1  0      0 3784552  17804   9444    0    0    24  1532  508 1222  2  5 93  0
 0  0      0 3772896  17852  20656    0    0    24  1836  523 1268  3  4 93  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3785684  17504   9016    0    0   608 13213  209  238  1  4 91  4
 1  0      0 3781684  17504  12492    0    0    20  1200  546 1246  2  6 92  0
 0  0      0 3773392  17504  20512    0    0    12   896  534 1224  3  6 92  0
 0  0      0 3773384  17504  20488    0    0    12   892  522 1225  2  6 92  0
 0  0      0 3772864  17512  20488    0    0    12   700  496 1091  2  6 87  5
 0  0      0 3773136  17512  20532    0    0    12   896  506 1183  2  5 92  0
 0  0      0 3773004  17512  20528    0    0    12   892  514 1194  2  6 92  0
 0  0      0 3773136  17512  20540    0    0    12   912  514 1218  2  7 92  0
 0  0      0 3784536  17512   9348    0    0    12  1224  530 1267  2  7 91  0
 0  0      0 3772872  17520  20544    0    0    12   648  499 1131  2  5 87  5
 0  0      0 3772748  17520  20536    0    0    12   920  517 1213  1  6 93  0
 0  0      0 3772824  17520  20520    0    0    12   924  516 1209  3  5 92  0
 0  0      0 3772848  17520  20568    0    0    12   916  505 1185  2  7 90  1
 0  0      0 3772848  17520  20576    0    0    12   920  511 1190  2  7 90  1
 0  1      0 3773236  17524  20576    0    0    12   960  475 1080  1  7 89  3
 1  0      0 3784372  17528   9352    0    0    12   924  534 1252  1  7 89  3
 1  0      0 3772832  17528  20576    0    0    12   916  517 1208  2  6 91  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3785356  17544   9040    0    0   604 13072  208  238  1  4 91  4
 1  0      0 3772972  17544  20460    0    0    16   604  520 1207  2  5 93  0
 0  0      0 3772988  17544  20484    0    0     4   300  493 1143  1  6 93  0
 0  0      0 3772848  17544  20484    0    0     4   296  518 1230  1  6 93  0
 0  1      0 3772864  17548  20464    0    0     4   400  469 1074  2  4 90  4
