procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1      0 7618712   2196  52044    0    0   421  4712  377  298  2  3 92  3
 2  0      0 7617184    356  47308    0    0  4976  2292 1649 1706  1  3 96  0
 0  0      0 7617264    368  47164    0    0  4028  1736 1235 1461  1  2 95  2
 0  0      0 7617240    392  47172    0    0  2840  1320  933 1338  0  2 97  1
 1  0      0 7617628    372  47268    0    0  3512  1320  967 1372  1  3 96  0
 0  0      0 7617288    400  47184    0    0  2664  1724  998 1313  1  2 97  0
 0  0      0 7617296    392  47188    0    0  2680  1312  903 1302  1  2 96  1
 0  0      0 7617528    376  47176    0    0  3520  1748 1098 1605  0  3 96  0
 1  0      0 7617428    400  47172    0    0  2660  1304  916 1341  0  2 97  0
 0  1      0 7617412    404  47168    0    0  2704  1332  943 1359  1  2 97  0
 0  0      0 7609872    376  55712    0    0  3468  1720 8270 1940  1  4 92  4
 0  0      0 7601676    384  63584    0    0  2688  1320 7483 1707  1  4 92  4
 0  0      0 7600628    368  63664    0    0  3468  1732 1065 1438  1  2 96  1
 0  0      0 7600800    388  63576    0    0  2672  1312  915 1272  1  2 97  1
 0  0      0 7601024    388  63824    0    0  2680  1304  909 1274  2  2 97  0
 3  0      0 7601644    368  63356    0    0  3484  1320  973 1408  1  2 96  1
 0  0      0 7601172    384  63568    0    0  2692  1736 1020 1371  0  1 97  1
 0  0      0 7600900    372  63584    0    0  3528  1740 1121 1691  1  3 95  0
 0  0      0 7601156    356  63604    0    0  3512  1744 1007 1436  1  2 96  1
 0  0      0 7600900    388  63560    0    0  2700  1308  988 1329  1  1 96  1
 1  0      0 7600916    396  63816    0    0  2956  1320  923 1301  1  2 96  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 7601008    376  63640    0    0  3232  1732 1243 1564  0  4 95  1
 1  0      0 7600884    400  63564    0    0  2648  1328  935 1413  1  2 97  0
 0  0      0 7600484    384  63724    0    0  3504  1724 1269 1572  2  3 95  1
 1  0      0 7600736    392  64080    0    0  3152  1320  956 1336  1  2 96  1
 0  0      0 7600968    364  63704    0    0  2976  1728 1030 1349  1  3 96  0
 0  0      0 7601116    368  63844    0    0  3504  1740 1041 1539  1  3 96  0
 0  0      0 7601224    400  63568    0    0  2680  1312  998 1379  1  2 97  1
 1  0      0 7592776    400  71756    0    0  2664  1324 7266 1707  1  3 92  4
