procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1      0 7614948   2156  55576    0    0   517  4610  409  324  1  3 93  2
 1  0      0 7615880    388  48692    0    0  5160  8200 2738 2484  1  4 94  1
 0  0      0 7615764    364  48476    0    0  4004  6452 1347 1654  1  4 94  1
 0  0      0 7615748    380  48536    0    0  2664  4852 1375 2009  1  2 96  0
 0  0      0 7608100    384  56772    0    0  2668  4820 6778 1809  1  5 91  3
 0  1      0 7591680    396  73184    0    0  2700  4832 9742 1448  1  5 89  5
 0  0      0 7591480    376  73100    0    0  2668  4836 5967 1695  1  4 93  2
 0  0      0 7591604    388  73344    0    0  2676  4856 1052 1425  0  2 96  1
 0  0      0 7591472    376  73072    0    0  3532  6432 1551 2161  1  2 96  1
 0  0      0 7591348    392  73096    0    0  2684  4836  866 1391  1  2 97  0
 0  0      0 7591588    380  73032    0    0  3524  6444 1870 2318  1  3 95  1
 1  0      0 7591540    396  73080    0    0  2684  4844 1890 2691  0  2 96  2
 0  0      0 7591664    368  73188    0    0  3528  6448 1749 2785  1  3 95  1
 0  0      0 7591480    384  73164    0    0  3568  6448 2145 2792  0  4 94  1
 0  1      0 7591368    392  73332    0    0  2868  4848 1283 1490  1  2 96  1
 0  0      0 7591492    376  73312    0    0  3344  6436 1072 1570  1  2 95  1
 0  0      0 7591352    396  73080    0    0  2680  4832 1159 1496  1  2 96  1
 0  0      0 7591284    384  73252    0    0  3568  6448 1741 2180  1  4 94  1
 1  0      0 7591196    396  73328    0    0  2692  4844 1078 1457  1  2 96  1
 3  0      0 7591420    404  73580    0    0  3024  4856 1179 1531  1  2 96  1
 0  0      0 7591396    372  73144    0    0  4064  8040 1661 2531  1  4 94  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 7591248    384  73008    0    0  3536  6444 1668 2323  0  4 94  2
 0  0      0 7591156    380  73312    0    0  3536  6452 1562 1688  0  3 95  2
 0  0      0 7591528    372  73088    0    0  3528  6444 1585 2096  1  3 95  1
 1  0      0 7591596    372  73108    0    0  3536  6452 1239 1640  1  2 95  1
 0  0      0 7591464    388  73052    0    0  3580  6460 1575 2282  0  4 94  1
 0  0      0 7591308    376  73048    0    0  3540  6460 1406 1689  1  3 95  0
 0  0      0 7590696    372  73320    0    0  3548  6436 1468 2303  1  3 95  0
