date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-08-17_20-48-25,seq,500k,100,200,ext3,176196,176700,504,244667535.360000
2024-08-17_20-48-25,seq,1000k,100,200,ext3,176196,177200,1004,286086400.000000
2024-08-17_20-48-25,seq,2000k,100,200,ext3,176196,178200,2004,395213127.680000
2024-08-17_20-48-25,seq,4000k,100,200,ext3,176196,180200,4004,1250032967.680000
2024-08-17_20-48-25,append,200KB,100,200,ext3,176196,195752,19556,===
2024-08-17_20-48-25,append,400KB,100,200,ext3,176196,215304,39108,===
2024-08-17_20-48-25,append,800KB,100,200,ext3,176196,254408,78212,===
2024-08-17_20-48-25,append,1600KB,100,200,ext3,176196,332608,156412,===
