procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  1      0 7603220  18672  50964    0    0  1530  1122  419  272  1  2 95  2
 1  0      0 7615336    376  49780    0    0  6372  6844 1498 1299  1  2 96  1
 1  0      0 7615096    340  49784    0    0  2760  5036  675  760  1  2 96  1
 1  0      0 7615056    332  49768    0    0  2720  5008  653  759  1  2 96  1
 1  0      0 7614832    468  49980    0    0  1868  4992  562  584  0  1 98  1
 1  0      0 7615072    336  49900    0    0  2736  3372  649  759  0  2 97  1
 1  0      0 7615064    340  49884    0    0  2728  5004  648  751  0  3 96  1
 0  1      0 7617080    332  47612    0    0  1960  5052  575  638  0  2 97  1
 1  0      0 7614692    468  50160    0    0  2660  3404  655  724  1  2 97  0
 1  0      0 7615244    348  49924    0    0  2780  5040  677  775  1  2 96  1
 1  0      0 7614864    476  50080    0    0  1888  5008  550  586  0  2 97  0
 1  0      0 7614980    356  50196    0    0  2764  5044  701  757  0  2 97  1
 1  0      0 7614832    372  50084    0    0  3652  6736  860 1014  1  2 96  1
 1  0      0 7615120    364  50088    0    0  3668  5108  846  981  1  2 96  1
 1  0      0 7614980    364  50180    0    0  4040  6764  930 1020  1  1 96  2
 0  0      0 7614848    364  49928    0    0  3668  6728  852 1000  1  2 96  1
 1  0      0 7614484    372  50204    0    0  2796  6696  747  793  0  2 97  1
 1  0      0 7614772    380  50208    0    0  3680  6720  858 1003  0  3 96  1
 1  0      0 7614740    384  50044    0    0  3672  6752  858 1004  1  2 96  1
 1  0      0 7614632    372  50140    0    0  3696  6784  860 1003  1  2 96  1
 1  0      0 7614640    384  50144    0    0  3688  6724  852  995  0  2 96  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 7614756    376  50180    0    0  3712  6740  856 1003  1  2 96  1
 1  0      0 7614740    380  50192    0    0  3700  6760  874 1011  1  2 96  1
 1  0      0 7614772    380  50224    0    0  3704  6736  853  998  1  2 96  1
 1  0      0 7614788    372  50292    0    0  3704  6788  855  999  0  2 96  2
 1  0      0 7614168    360  50556    0    0  3716  5072  852  985  1  2 97  1
 1  0      0 7614572    368  50496    0    0  3704  6768  866  994  0  2 96  1
 1  0      0 7614472    384  50480    0    0  2836  6736  783  835  1  2 97  1
 1  0      0 7614588    388  50340    0    0  3700  6744  882 1031  1  2 96  1
