date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-08-17_21-06-12,seq,500k,100,1,nilfs2,16380,65532,49152,524288000.000000
2024-08-17_21-06-12,seq,1000k,100,1,nilfs2,16380,122876,106496,1048576000.000000
2024-08-17_21-06-12,seq,2000k,100,1,nilfs2,16380,221180,204800,2023751680.000000
2024-08-17_21-06-12,seq,4000k,100,1,nilfs2,16380,434172,417792,1405091502.080000
2024-08-17_21-06-12,append,200KB,100,1,nilfs2,16380,40956,24576,===
2024-08-17_21-06-12,append,400KB,100,1,nilfs2,16380,57340,40960,===
2024-08-17_21-06-12,append,800KB,100,1,nilfs2,16380,98300,81920,===
2024-08-17_21-06-12,append,1600KB,100,1,nilfs2,16380,180220,163840,===
