procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1      0 6651388  49108 959044    0    0  1857  1509  382  267  1  2 95  1
 1  0      0 7616712    612  48380    0    0  4996   940 1239  976  0  2 96  2
 1  0      0 7616812    344  48236    0    0  3772  1312  783  961  0  2 97  1
 1  0      0 7616812    340  48284    0    0  3636   864  762  929  0  1 98  1
 1  0      0 7616572    340  48260    0    0  3636  1072  748  912  1  1 97  1
 1  0      0 7616440    340  48504    0    0  3616  1092  743  918  1  1 97  1
 1  0      0 7616836    360  48692    0    0  2788  1148  667  772  0  1 97  2
 1  0      0 7616828    352  48464    0    0  3656   896  756  929  0  0 98  2
 1  0      0 7616704    340  48412    0    0  3652  1124  749  948  0  1 97  2
 1  0      0 7616596    360  48552    0    0  2788  1124  666  751  0  0 98  2
 1  0      0 7616580    348  48564    0    0  3664   868  755  923  0  1 96  2
 1  0      0 7616860    344  48504    0    0  3664  1180  767  957  0  1 97  2
 0  1      0 7617704    336  47832    0    0  3292  1148  776  880  1  1 96  2
 0  0      0 7616728    360  48576    0    0  3248  1132  798  920  1  1 96  2
 1  0      0 7617264    360  48320    0    0  3728  1144  831  995  0  2 96  2
 1  0      0 7617232    352  48324    0    0  3708   872  813  968  0  1 97  2
 1  0      0 7616852    348  48616    0    0  3720  1204  834  994  1  2 95  2
 1  0      0 7616824    356  48636    0    0  2828  1136  753  824  1  2 96  1
 1  0      0 7617180    356  48588    0    0  3744  1140  839  969  0  2 96  2
 1  0      0 7616916    348  48356    0    0  3732   872  858  982  0  2 97  1
 1  0      0 7616792    344  48532    0    0  3728  1172  833  988  1  1 96  2
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 7616908    344  48380    0    0  3716  1140  826  981  0  2 96  1
 1  0      0 7616924    352  48360    0    0  2868  1164  750  833  0  1 97  2
 1  0      0 7617196    348  48364    0    0  3744   876  831  980  0  2 96  2
 1  0      0 7616784    344  48464    0    0  3760  1140  830  979  1  1 96  2
 1  0      0 7617072    344  48396    0    0  3760  1168  855 1002  1  1 96  2
 1  0      0 7616972    340  48408    0    0  3776  1152  850 1004  1  2 95  2
