date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-08-08_20-50-28,append,200KB,20,1,yuiha,176196,180336,4140,===
2024-08-08_20-50-28,append,200KB,20,2,yuiha,176196,180216,4020,===
2024-08-08_20-50-28,append,200KB,20,4,yuiha,176196,180156,3960,===
2024-08-08_20-50-28,append,200KB,20,200,yuiha,176196,180108,3912,===
2024-08-08_20-50-28,append,400KB,20,1,yuiha,176196,184320,8124,===
2024-08-08_20-50-28,append,400KB,20,2,yuiha,176196,184164,7968,===
2024-08-08_20-50-28,append,400KB,20,4,yuiha,176196,184088,7892,===
2024-08-08_20-50-28,append,400KB,20,200,yuiha,176196,184024,7828,===
2024-08-08_20-50-28,append,800KB,20,1,yuiha,176196,192164,15968,===
2024-08-08_20-50-28,append,800KB,20,2,yuiha,176196,192008,15812,===
2024-08-08_20-50-28,append,800KB,20,4,yuiha,176196,191916,15720,===
2024-08-08_20-50-28,append,800KB,20,200,yuiha,176196,191844,15648,===
2024-08-08_20-50-28,append,1600KB,20,1,yuiha,176196,207808,31612,===
2024-08-08_20-50-28,append,1600KB,20,2,yuiha,176196,207652,31456,===
2024-08-08_20-50-28,append,1600KB,20,4,yuiha,176196,207564,31368,===
2024-08-08_20-50-28,append,1600KB,20,200,yuiha,176196,207484,31288,===
2024-08-08_20-50-28,seq,60k,20,1,yuiha,176196,177552,1356,16515072.000000
2024-08-08_20-50-28,seq,60k,20,2,yuiha,176196,176872,676,25952256.000000
2024-08-08_20-50-28,seq,60k,20,4,yuiha,176196,176532,336,29884416.000000
2024-08-08_20-50-28,seq,60k,20,200,yuiha,176196,176260,64,51904512.000000
2024-08-08_20-50-28,seq,250k,20,1,yuiha,176196,181392,5196,26151372.800000
2024-08-08_20-50-28,seq,250k,20,2,yuiha,176196,178792,2596,45712742.400000
2024-08-08_20-50-28,seq,250k,20,4,yuiha,176196,177492,1296,46202470.400000
2024-08-08_20-50-28,seq,250k,20,200,yuiha,176196,176452,256,64880640.000000
2024-08-08_20-50-28,seq,1000k,20,1,yuiha,176196,196352,20156,37378355.200000
