procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 5  0      0 6614476  47052 991792    0    0  1259    47  116  164  2  1 96  1
 0  0      0 6593132  47052 1004324    0    0     8  1064  634 1297  3  5 92  0
 0  0      0 6593116  47052 1004260    0    0     0     0  598 1251  2  6 92  0
 3  0      0 6604268  47052 992980    0    0     0     0  579 1219  2  7 91  0
 1  0      0 6593108  47060 1004236    0    0     0   112  614 1250  1  6 93  0
 0  0      0 6592852  47060 1004244    0    0     0     0  589 1238  2  6 92  0
 0  0      0 6592744  47060 1004252    0    0     0  1060  566 1178  1  6 93  0
 0  0      0 6592860  47060 1004336    0    0     0     0  591 1229  2  6 92  0
 0  0      0 6592992  47060 1004252    0    0     0     0  589 1231  2  6 92  0
 0  0      0 6592620  47068 1004244    0    0     0    36  582 1206  2  5 93  0
 0  0      0 6592860  47068 1004336    0    0     0     0  601 1246  2  6 92  0
 1  0      0 6592728  47068 1004260    0    0     0  1064  601 1249  1  7 92  0
 0  0      0 6592876  47068 1004260    0    0     0     0  567 1189  1  6 93  0
 0  0      0 6593116  47068 1004260    0    0     0     0  585 1242  2  6 92  0
 0  0      0 6593108  47076 1004252    0    0     0    36  602 1255  2  6 92  0
 1  0      0 6592876  47076 1004260    0    0     0     0  564 1178  1  6 92  0
