procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  2      0 7601816  18788  50692    0    0   961   166  228  244  2  2 95  1
 0  0      0 7614084    340  49316    0    0  4644  5088 1256 1425  1  4 94  1
 2  0      0 7613644    340  48272    0    0  2640  4944  629 1151  0  3 96  1
 0  0      0 7613900    412  49268    0    0  1792  4928  564 1040  0  3 96  0
 0  0      0 7614024    340  49180    0    0  2692  3300  640 1165  1  3 96  0
 0  0      0 7613900    344  49164    0    0  2644  4944  651 1192  1  2 96  0
 0  0      0 7613784    420  49276    0    0  1784  4948  545  990  0  3 97  0
 0  0      0 7613900    340  49276    0    0  2636  3288  637 1169  1  3 96  0
 0  0      0 7613560    336  49476    0    0  2676  5008  654 1174  1  3 95  0
 1  0      0 7613560    424  49320    0    0  1784  4968  547 1001  0  2 97  0
 0  0      0 7613824    336  49320    0    0  3524  4964  754 1366  1  4 94  1
 1  0      0 7613808    408  49396    0    0  1808  4972  560 1037  1  2 97  0
 2  0      0 7613684    348  49580    0    0  2688  3316  648 1167  1  3 96  0
 0  0      0 7614056    340  49332    0    0  2696  4984  635 1177  1  2 96  1
 0  0      0 7613808    340  49332    0    0  2716  4976  640 1169  0  4 95  0
 1  0      0 7613816    784  49464    0    0  2188  5016  620  997  1  2 96  1
 0  0      0 7613600    356  49508    0    0  2756  4976  682 1240  2  3 95  1
 0  0      0 7614112    340  49652    0    0  2724  4968  671 1215  0  3 95  1
 0  0      0 7613724    344  49428    0    0  2736  4976  660 1207  1  3 96  1
 0  0      0 7613848    336  49440    0    0  2704  3316  637 1169  1  3 96  0
 0  0      0 7613972    340  49440    0    0  2732  4972  651 1193  1  3 95  2
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 7613964    336  49592    0    0  2744  4972  663 1219  1  3 95  0
 2  0      0 7615460    332  47740    0    0  2472  5024  629 1132  0  3 95  1
 2  0      0 7613888    348  49508    0    0  2124  3804  596 1078  0  3 96  0
 2  0      0 7613756    352  49588    0    0  2716  4488  653 1197  1  3 95  1
 0  0      0 7613756    340  49564    0    0  2724  4992  649 1194  1  2 96  1
 0  0      0 7614044    340  49424    0    0  2740  4972  650 1202  1  2 96  0
 1  0      0 7614780    340  48568    0    0  2420  4984  631 1159  1  2 96  0
 0  0      0 7613788    352  49576    0    0  2204  4984  594 1093  1  3 96  1
 0  0      0 7613664    340  49644    0    0  2712  3364  651 1193  1  2 96  1
 1  0      0 7613664    340  49588    0    0  2720  4984  665 1215  1  3 95  0
 0  0      0 7613904    340  49640    0    0  2728  4992  677 1231  1  4 95  0
 0  0      0 7613920    340  49764    0    0  2732  4984  660 1199  2  3 95  0
 0  0      0 7613532    340  49748    0    0  2712  4992  665 1198  0  4 95  0
 0  0      0 7613416    420  49892    0    0  1832  4996  564 1033  0  3 96  0
 0  0      0 7613416    340  50056    0    0  2656  3320  641 1182  1  3 96  0
