procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 3003088  14572 842728    0    0   129  1087   21    9  0  6 94  0
 0  0      0 2983696  14600 854864    0    0    20  3040  681  641  1  7 92  0
 0  0      0 2983696  14604 855364    0    0     0  3000  611  506  0  7 92  0
 0  0      0 2981752  14612 856284    0    0     0  4000  661  558  0  4 96  0
 0  0      0 2981208  14624 857364    0    0     0  3000  664  554  1  5 94  0
 0  0      0 2980116  14640 858300    0    0     0  3588  682  579  1  3 95  1
 0  0      0 2979472  14656 858864    0    0     4  3560  614  591  1  5 94  0
 4  1      0 2981988  14664 856680    0    0     0  3500  620  531  1  4 94  0
 1  0      0 2980196  14672 857820    0    0     0  3500  661  589  0  4 95  0
 0  0      0 2968688  14676 869552    0    0     0  3000  636  531  1  6 93  0
 0  0      0 2967664  14692 870704    0    0     0  3536  668  566  1  5 93  1
 0  0      0 2966432  14708 871712    0    0     0  3560  634  512  1  5 94  0
 0  0      0 2966076  14712 872204    0    0     0  3000  676  548  0  6 94  0
 1  0      0 2965068  14724 872984    0    0     0  3500  648  531  1  5 94  0
 0  0      0 2963936  14732 873992    0    0     0  3500  628  489  1  4 95  0
