procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 2796964   1632   8132    0    0   167  2106   55   48  0  6 93  1
 1  0      0 2793412    152   4904    0    0  3444  1092  722  711  0  3 94  3
 0  0      0 2794000    156   4444    0    0  3920   956  699  685  1  2 94  3
 0  0      0 2794000    168   4416    0    0  4432   984  722  740  1  3 93  3
 0  1      0 2793852    192   4652    0    0  3496   780  642  624  1  3 95  1
 0  0      0 2793736    176   4460    0    0  4284   980  708  735  1  3 94  2
 0  0      0 2793644    192   4556    0    0  5564  1028  736  779  1  3 95  2
 0  0      0 2793800    192   4656    0    0  4436  1020  714  745  0  3 95  2
 0  0      0 2793744    176   4344    0    0  5500  1276  834  898  1  4 92  3
 0  0      0 2793612    176   4532    0    0  4428  1020  731  745  1  3 93  3
 0  0      0 2793892    176   4560    0    0  4436  1024  731  742  1  3 93  2
 1  0      0 2793660    188   4900    0    0  5808  1312  868  944  1  5 92  3
 0  0      0 2794116    188   4664    0    0  4188   992  702  719  1  3 93  3
 0  0      0 2794108    176   4688    0    0  4456  1020  734  763  0  3 95  2
 0  0      0 2785756    172  12996    0    0  4444  1052 1221  856  0  5 91  4
 0  0      0 2785800    172  12928    0    0  4448   992  735  758  0  4 94  1
 0  0      0 2785840    164  13104    0    0  4440  1028  749  761  1  4 93  2
 0  0      0 2785848    172  13012    0    0  3344   792  640  611  0  2 95  2
 1  0      0 2785676    160  13028    0    0  5536  1020  849  919  0  4 93  3
 0  0      0 2785840    184  12944    0    0  3352  1020  642  618  1  3 95  1
 0  0      0 2785784    168  13080    0    0  5828  1260  865  945  1  6 91  2
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 2785700    184  12992    0    0  4468  1024  732  763  1  2 95  2
 0  0      0 2785700    164  13020    0    0  5540  1280  841  913  1  3 93  3
 0  0      0 2785732    172  13144    0    0  5536  1304  864  947  1  2 95  1
 0  1      0 2785716    176  13080    0    0  5572  1020  769  794  1  3 94  2
