date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-08-08_21-13-34,append,200KB,100,1,yuiha,176196,197536,21340,===
2024-08-08_21-13-34,append,200KB,100,2,yuiha,176196,196644,20448,===
2024-08-08_21-13-34,append,200KB,100,4,yuiha,176196,196184,19988,===
2024-08-08_21-13-34,append,200KB,100,200,yuiha,176196,195752,19556,===
2024-08-08_21-13-34,append,400KB,100,1,yuiha,176196,217136,40940,===
2024-08-08_21-13-34,append,400KB,100,2,yuiha,176196,216236,40040,===
2024-08-08_21-13-34,append,400KB,100,4,yuiha,176196,215752,39556,===
2024-08-08_21-13-34,append,400KB,100,200,yuiha,176196,215304,39108,===
2024-08-08_21-13-34,append,800KB,100,1,yuiha,176196,256220,80024,===
2024-08-08_21-13-34,append,800KB,100,2,yuiha,176196,255364,79168,===
