procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 3934616   2412  10352    0    0   250   627   34   31  0  1 98  1
 1  0      0 3934336    128   4984    0    0  2932  3436  710  705  1  5 92  2
 0  1      0 3933648    160   5672    0    0  3992  2516  671  663  1  4 93  2
 0  0      0 3934252    168   5048    0    0  3736  3316  682  654  1  5 91  2
 0  0      0 3934484    168   4932    0    0  3320  2528  624  583  1  5 92  2
 1  0      0 3934276    168   5272    0    0  3484  2556  647  621  1  3 94  1
 0  0      0 3934360    188   4968    0    0  5428  3344  738  746  1  6 91  2
 0  0      0 3934532    192   5036    0    0  3340  2540  638  588  1  6 92  2
 1  1      0 3926132    196  13216    0    0  3316  2528 1293  739  1  7 88  4
 0  0      0 3926480    172  13136    0    0  5524  4216  878  929  0  7 91  2
 0  1      0 3919024    164  20480    0    0  5684  3392 1549  950  1  8 86  5
 1  0      0 3918148    176  20664    0    0  4468  3372  750  760  2  6 90  2
 0  0      0 3918032    188  21356    0    0  3452  3372  657  620  1  7 92  1
 1  0      0 3917792    168  20912    0    0  4296  2532  707  712  1  5 92  2
 0  1      0 3917612    196  21456    0    0  3464  3344  659  623  0  5 92  3
 0  0      0 3917892    164  21172    0    0  3340  2536  625  602  0  5 90  6
 0  0      0 3917768    168  21436    0    0  3356  2524  652  625  1  4 92  3
 0  0      0 3917868    164  21324    0    0  3340  2540  624  595  1  5 93  1
 0  0      0 3917868    152  21280    0    0  4436  3372 1006  801  1  7 90  3
 0  0      0 3917744    176  21460    0    0  3352  2548  639  607  1  4 93  3
 1  0      0 3917776    172  21468    0    0  3396  2524  626  604  1  4 94  2
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3918760    144  20216    0    0  4028  2532  674  670  1  4 92  3
 1  0      0 3918604    156  20284    0    0  3440  2532  634  597  1  4 92  2
 0  0      0 3917628    184  21312    0    0  3600  3352  654  636  1  5 92  2
 0  0      0 3917496    192  21296    0    0  3324  2520  636  596  0  5 94  1
 0  0      0 3909304    180  29580    0    0  4424  3384 1405  799  1  9 85  5
 0  0      0 3909412    188  29584    0    0  3324  2560  627  596  1  5 92  2
 0  0      0 3909296    192  29552    0    0  3332  2532  635  600  1  4 93  2
 0  1      0 3909576    184  29740    0    0  3600  2520  638  612  1  4 93  2
 0  1      0 3910404    152  28412    0    0  3992  2528  686  676  0  5 92  2
