procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 3934816   2384  10240    0    0   261   684   37   33  0  1 98  1
 0  0      0 3934284    124   4892    0    0  2928  3412  680  656  2  4 92  2
 0  0      0 3934284    156   4800    0    0  3304  2500  624  590  1  3 94  3
 0  0      0 3934532    164   5024    0    0  3320  2508  621  585  1  4 93  2
 0  0      0 3934408    148   4996    0    0  4380  3316  725  728  0  5 92  2
 0  0      0 3934268    160   4932    0    0  4404  3324  711  721  1  6 91  2
 0  0      0 3934168    180   4948    0    0  3344  2492  620  589  1  5 93  2
 0  0      0 3934384    188   4840    0    0  4472  2544  619  607  1  5 93  2
 1  0      0 3934052    184   5220    0    0  3624  2532  645  626  1  4 93  2
 1  0      0 3935508    156   3924    0    0  3808  2516  653  650  0  5 92  2
 1  0      0 3926216    164  12356    0    0  4664  3360 1267  818  1  7 88  3
 0  0      0 3926008    172  13064    0    0  4504  4192  772  773  1  6 91  2
