procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 3938000   2456   8208    0    0   144   140   12    9  0  0 100  0
 0  0      0 3935108    144   4388    0    0  4052  1356  808  827  1  6 91  2
 0  0      0 3935208    144   4452    0    0  3320   744  626  584  0  4 94  2
 0  0      0 3934944    148   4448    0    0  5504  1220  873  906  1  6 90  3
 0  0      0 3935084    144   4328    0    0  5500  1256  849  893  2  5 90  3
 0  0      0 3934844    168   4468    0    0  6644  1280  892  929  1  6 90  3
 0  1      0 3934968    192   4456    0    0  2212   504  457  411  0  2 84 14
 0  0      0 3934828    200   4392    0    0  2256   516  407  438  1  2 84 14
 0  0      0 3935052    168   4420    0    0  3364   784  641  607  1  4 94  1
 0  0      0 3934928    156   4404    0    0  4400  1004  745  748  0  5 92  2
 1  0      0 3935200    160   4064    0    0  5400  1040  858  886  2  6 90  2
 0  0      0 3935224    172   4224    0    0  3452  1000  647  613  1  4 94  2
 1  0      0 3934472    180   5012    0    0  3960   804  647  647  1  4 93  2
 0  0      0 3934936    172   4352    0    0  3860   992  692  699  0  5 92  2
 0  1      0 3935416    144   3856    0    0  4104   788  688  683  2  3 92  2
 0  0      0 3935084    172   4300    0    0  3680  1000  677  643  1  4 93  2
 0  0      0 3934928    160   4276    0    0  4448  1020  722  744  2  4 92  2
 0  0      0 3934920    180   4380    0    0  3364   796  630  605  1  4 93  2
 0  0      0 3935076    172   4428    0    0  4460  1004  734  749  2  4 92  2
 0  1      0 3926264    176  13200    0    0  3956   784 1215  844  1  6 89  3
 0  0      0 3926768    160  12540    0    0  3848  1004  692  680  1  4 92  3
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3926860    156  12312    0    0  4340   792  698  719  2  4 92  2
 0  0      0 3926728    180  12516    0    0  3456  1024  650  638  0  5 94  1
 0  0      0 3926760    180  12592    0    0  4476   996  723  756  1  4 93  3
 1  0      0 3927348    148  12048    0    0  4084   788  634  671  2  4 93  2
 0  0      0 3926720    184  12356    0    0  3724  1004  656  657  1  4 93  2
 1  0      0 3925844    188  13364    0    0  4080   792  653  681  1  4 91  5
 0  0      0 3926712    192  12560    0    0  3748  1020  658  665  1  4 92  3
