procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 3937184   2412   8684    0    0   200   392   24   21  0  0 99  0
 1  0      0 3934772    152   4464    0    0  3208  1888  706  687  1  4 93  2
 0  0      0 3934872    160   4460    0    0  4368  1756  737  732  1  5 92  2
 0  0      0 3934832    184   4648    0    0  5516  2216  840  886  2  7 89  2
 0  0      0 3934988    184   4664    0    0  5572  1804  732  765  1  5 92  2
 1  0      0 3934656    176   4504    0    0  4364  1372  720  729  1  3 92  3
 0  0      0 3934964    184   4484    0    0  3376  1796  625  610  0  4 93  2
 0  1      0 3934716    172   4464    0    0  4596  1824  763  773  2  6 91  2
 1  0      0 3934716    184   4656    0    0  6652  2716  945 1057  2  6 88  4
 0  0      0 3934700    184   4520    0    0  5396  2260  859  901  2  4 90  3
 0  0      0 3934788    192   4500    0    0  4428  1780  731  746  0  6 91  3
 1  0      0 3927084    156  11996    0    0  4076  1376 1155  742  0  8 87  5
 2  0      0 3926952    156  11980    0    0  4544  1800  742  760  1  5 91  2
 0  0      0 3926276    188  12640    0    0  3596  1792  647  620  2  3 92  3
 1  0      0 3926268    196  12780    0    0  3348  1380  634  612  0  5 93  1
 3  1      0 3918200    184  20980    0    0  4440  1776  742  742  1  5 91  2
 0  0      0 3918280    192  20840    0    0  3320  1384 1035  616  1  5 93  2
 0  0      0 3918092    172  20900    0    0  4420  1780  715  736  0  6 92  3
 1  1      0 3918100    172  20996    0    0     0    20  109   75  0  0 73 27
 0  0      0 3918224    172  21052    0    0  4432  1784  717  738  1  4 90  5
 1  0      0 3918340    164  20472    0    0  4324  1396  702  716  1  5 91  3
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3917504    204  21680    0    0  4172  1800  710  704  1  4 92  3
 0  0      0 3918084    188  20892    0    0  3788  1776  678  673  1  5 92  2
 0  0      0 3918148    180  20880    0    0  3356  1380  587  587  1  4 94  2
 0  0      0 3918240    172  20844    0    0  4456  1784  717  746  2  5 92  2
 0  0      0 3918140    196  20968    0    0  3360  1380  604  600  0  5 94  2
 0  0      0 3918092    180  20840    0    0  4468  1772  680  739  1  5 92  2
 0  0      0 3918588    188  20984    0    0  3376  1356  626  596  1  4 93  2
