date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-12-27_20-55-47,seq,500k,100,1,yuiha,176196,226992,50796,46154147.840000
2024-12-27_20-55-47,seq,500k,100,2,yuiha,176196,201592,25396,153462906.880000
2024-12-27_20-55-47,seq,500k,100,4,yuiha,176196,188892,12696,206786068.480000
2024-12-27_20-55-47,seq,500k,100,200,yuiha,176196,176700,504,263017799.680000
2024-12-27_20-55-47,seq,1000k,100,1,yuiha,176196,276992,100796,63033630.720000
2024-12-27_20-55-47,seq,1000k,100,2,yuiha,176196,226588,50392,166321367.040000
2024-12-27_20-55-47,seq,1000k,100,4,yuiha,176196,201392,25196,219637401.600000
2024-12-27_20-55-47,seq,1000k,100,200,yuiha,176196,177200,1004,307582126.080000
2024-12-27_20-55-47,seq,2000k,100,1,yuiha,176196,376992,200796,79748085.760000
2024-12-27_20-55-47,seq,2000k,100,2,yuiha,176196,276592,100396,220377180.160000
2024-12-27_20-55-47,seq,2000k,100,4,yuiha,176196,226392,50196,289676072.960000
2024-12-27_20-55-47,seq,2000k,100,200,yuiha,176196,178200,2004,401354803.200000
2024-12-27_20-55-47,seq,4000k,100,1,yuiha,176196,576988,400792,161037414.400000
2024-12-27_20-55-47,seq,4000k,100,2,yuiha,176196,376588,200392,744025149.440000
2024-12-27_20-55-47,seq,4000k,100,4,yuiha,176196,276392,100196,1063607029.760000
2024-12-27_20-55-47,seq,4000k,100,200,yuiha,176196,180200,4004,1316742287.360000
