procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 6620012  27428 955280    0    0  1574  2262  124  221  1  2 96  1
 0  0      0 6607668  27452 967360    0    0   272  3040 1035 1409  1  6 93  0
 2  0      0 6613256  27460 962180    0    0   556  3500 1193 1527  1  6 92  0
 0  0      0 6606064  27468 968460    0    0   256  3000  993 1301  1  6 93  0
 0  0      0 6605156  27476 969400    0    0   540  3576 1213 1516  1  6 93  0
 0  0      0 6605212  27480 970048    0    0   256  3000 1005 1296  1  4 94  0
 0  0      0 6604220  27500 970512    0    0   540  3560 1206 1513  1  6 92  1
 0  0      0 6603360  27508 971536    0    0   532  3000 1096 1421  2  4 93  1
 0  0      0 6602840  27512 972176    0    0   268  3500 1132 1365  0  8 92  0
 0  0      0 6601996  27520 972924    0    0   544  3536 1163 1433  1  6 92  1
 1  0      0 6601220  27528 973776    0    0   544  3000 1111 1457  1  7 92  0
 1  0      0 6611768  27540 962984    0    0   144  3560 1097 1302  2  6 92  0
 0  0      0 6599764  27548 975156    0    0   316  3000 1036 1322  1  6 92  0
 1  0      0 6608560  27560 966648    0    0   336  3500 1132 1398  1  6 92  0
 0  0      0 6597896  27564 976784    0    0   152  3000  977 1222  1  5 94  0
 0  0      0 6596624  27572 977692    0    0   288  3536 1141 1374  1  6 92  1
