procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1      0 7561540   2192  57576    0    0     1     2   12    8  1  0 99  0
 0  0      0 7560848    380  51940    0    0  4868  2308 1719 1795  1  3 94  2
 0  0      0 7560836    376  51696    0    0  5112  2192 1570 1987  3  2 94  0
 0  0      0 7561076    380  51732    0    0  3544  1828 1222 1621  1  2 96  1
 2  0      0 7560704    384  51768    0    0  4388  2232 1451 1891  1  2 95  1
 0  0      0 7561076    376  51604    0    0  2664  1388 1014 1490  1  2 96  1
 0  0      0 7560952    384  51832    0    0  3556  1784 1243 1769  1  2 96  1
 0  0      0 7560828    392  51792    0    0  4416  2252 1481 2080  1  4 94  1
 0  0      0 7560844    388  51564    0    0  2696  1384  984 1365  0  2 97  1
 1  0      0 7550384    384  60644    0    0  4088  1800 7455 2129  2  5 89  4
 0  0      0 7551592    408  59876    0    0  3056  1784 1133 1479  2  2 96  1
 1  0      0 7552000    380  59904    0    0  3568  1812 1200 1678  1  3 96  0
 0  0      0 7552192    380  59852    0    0  3500  1800 1289 1857  1  3 95  0
 1  0      0 7552068    396  60092    0    0  2876  1388 1030 1525  1  3 95  1
 0  0      0 7543804    408  68172    0    0  3400  1776 6595 2046  1  5 90  4
 0  0      0 7543780    384  68012    0    0  2684  1352 1002 1639  1  2 97  0
 0  0      0 7544016    396  67880    0    0  2708  1352 1039 1462  1  2 96  0
 1  0      0 7543916    400  68148    0    0  3560  1812 1391 1681  1  3 95  1
 0  0      0 7543824    396  67900    0    0  2712  1352  958 1369  1  2 96  1
 1  0      0 7543460    368  68028    0    0  3240  1380 1133 1603  0  3 95  1
 0  0      0 7543964    396  68196    0    0  3012  1820 1187 1575  1  2 96  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 7543776    396  68332    0    0  3564  1776 1187 1649  1  3 95  1
 0  0      0 7543676    384  68012    0    0  2716  1372 1012 1389  1  2 97  0
 0  0      0 7544072    372  67904    0    0  3560  1788 1181 1568  2  4 95  0
 2  0      0 7535828    404  76440    0    0  4548  1352 7204 1735  1  4 92  3
 0  0      0 7535752    384  76024    0    0  2716  1372 1362 1523  1  2 96  1
 0  0      0 7535708    392  76160    0    0  3704  1784 1222 1639  2  2 95  1
