date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-08-03_23-42-27,append,200KB,100,1,yuiha,176196,197536,21340,===
2024-08-03_23-42-27,append,200KB,100,2,yuiha,176196,196652,20456,===
2024-08-03_23-42-27,append,200KB,100,4,yuiha,176196,196184,19988,===
2024-08-03_23-42-27,append,200KB,100,200,yuiha,176196,195752,19556,===
2024-08-03_23-42-27,append,400KB,100,1,yuiha,176196,217136,40940,===
2024-08-03_23-42-27,append,400KB,100,2,yuiha,176196,216236,40040,===
2024-08-03_23-42-27,append,400KB,100,4,yuiha,176196,215756,39560,===
2024-08-03_23-42-27,append,400KB,100,200,yuiha,176196,215304,39108,===
2024-08-03_23-42-27,append,800KB,100,1,yuiha,176196,256220,80024,===
2024-08-03_23-42-27,append,800KB,100,2,yuiha,176196,255364,79168,===
2024-08-03_23-42-27,append,800KB,100,4,yuiha,176196,254880,78684,===
2024-08-03_23-42-27,append,800KB,100,200,yuiha,176196,254408,78212,===
2024-08-03_23-42-27,append,1600KB,100,1,yuiha,176196,334312,158116,===
2024-08-03_23-42-27,append,1600KB,100,2,yuiha,176196,333548,157352,===
2024-08-03_23-42-27,append,1600KB,100,4,yuiha,176196,333076,156880,===
2024-08-03_23-42-27,append,1600KB,100,200,yuiha,176196,332608,156412,===
2024-08-03_23-42-27,seq,60k,100,1,yuiha,176196,182992,6796,60892303.360000
2024-08-03_23-42-27,seq,60k,100,2,yuiha,176196,179592,3396,61027123.200000
2024-08-03_23-42-27,seq,60k,100,4,yuiha,176196,177892,1696,62599987.200000
2024-08-03_23-42-27,seq,60k,100,200,yuiha,176196,176260,64,62914560.000000
2024-08-03_23-42-27,seq,250k,100,1,yuiha,176196,202192,25996,31751843.840000
2024-08-03_23-42-27,seq,250k,100,2,yuiha,176196,189192,12996,79722649.600000
2024-08-03_23-42-27,seq,250k,100,4,yuiha,176196,182692,6496,105985361.920000
2024-08-03_23-42-27,seq,250k,100,200,yuiha,176196,176452,256,131945809.920000
2024-08-03_23-42-27,seq,1000k,100,1,yuiha,176196,276984,100788,55890749.440000
2024-08-03_23-42-27,seq,1000k,100,2,yuiha,176196,226592,50396,160102420.480000
2024-08-03_23-42-27,seq,1000k,100,4,yuiha,176196,201392,25196,212697077.760000
2024-08-03_23-42-27,seq,1000k,100,200,yuiha,176196,177200,1004,274726871.040000
2024-08-03_23-42-27,seq,4000k,100,1,yuiha,176196,576992,400796,156995031.040000
2024-08-03_23-42-27,seq,4000k,100,2,yuiha,176196,376588,200392,735129835.520000
2024-08-03_23-42-27,seq,4000k,100,4,yuiha,176196,276392,100196,1058960486.400000
2024-08-03_23-42-27,seq,4000k,100,200,yuiha,176196,180200,4004,1273137408.000000
