procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 7346472   3136 112796    0    0     1     8   13    8  1  0 99  0
 0  0      0 7298356   3176 151424    0    0   836 20040 3798 1837  3  8 88  2
 1  0      0 7277540   3196 171156    0    0   640 20000 1007 1542  3  7 89  1
 1  0      0 7256444   3216 191020    0    0   640 20000 1034 1535  4  6 89  1
 0  0      0 7231652   3252 214632    0    0   772 24080 1151 1624  4  7 87  1
 0  0      0 7210912   3276 234232    0    0   640 20000 1069 1604  3  7 88  1
 0  1      0 7193028   3304 250216    0    0   396 120480 1225 1317  3  6 85  6
 1  0      0 7167260   3324 277644    0    0  1352 16000 8451 4403  3  8 85  5
 1  0      0 7143328   3352 301144    0    0   768 24000 1146 1635  3  5 90  1
 0  0      0 7122960   3380 320956    0    0   640 20036 1081 1628  3  7 89  1
 1  0      0 7101964   3400 340488    0    0   600 20000 1030 1515  3  7 89  1
 0  0      0 7075512   3436 368392    0    0   520 120224 5645 1596  3  8 81  7
 0  1      0 7046440   3456 396248    0    0   944 20000 7888 4294  2  8 86  4
 0  0      0 7025700   3476 415832    0    0   640 20000 1801 1572  2  8 88  2
 0  1      0 7000976   3508 435632    0    0   644 24036 1110 1579  3  5 91  1
 1  0      0 6991008   3532 447812    0    0   764 20000 1086 1633  2  5 91  2
 0  0      0 6966332   3556 474508    0    0  1036 116632 1360 1595  1  6 81 12
 0  0      0 6945924   3580 494060    0    0   640 20000 1079 1621  3  5 90  1
 0  0      0 6925292   3604 513388    0    0  1608 20000 1349 2029  3  5 90  1
 2  0      0 6896172   3624 541404    0    0   640 20000 7479 4176  2  9 84  4
