procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1      0 7558360   2160  59980    0    0     1     3   12    8  1  0 99  0
 1  0      0 7559956    508  52216    0    0  5104  4260 1880 1951  1  3 95  1
 0  1      0 7559440    364  52620    0    0  4384  3368 1587 1881  1  1 96  2
 0  0      0 7559820    372  52104    0    0  3032  3340 1310 1608  0  2 96  1
 0  0      0 7551732    376  60144    0    0  2668  2528 8530 2017  1  3 92  3
 1  1      0 7551012    380  60472    0    0  2988  2556 1102 1512  0  3 96  1
 0  0      0 7551300    376  60300    0    0  3224  3356 1334 1644  2  2 95  1
 0  0      0 7551292    376  60260    0    0  2632  2544 1071 1430  1  3 96  0
 0  0      0 7551160    356  60232    0    0  3468  3352 1309 1596  1  3 95  1
 0  0      0 7543396    400  68428    0    0  2644  2532 7641 1848  1  3 92  5
 0  0      0 7543268    388  68360    0    0  2676  2548 1465 1511  0  2 97  0
 0  0      0 7543100    356  68352    0    0  3480  3352 1296 1631  1  4 95  1
 1  0      0 7542596    356  68964    0    0  3196  2560 1260 1841  1  3 95  1
 0  0      0 7543272    388  68464    0    0  3784  4184 1717 2084  1  2 95  2
 0  0      0 7542568    364  68696    0    0  3468  3372 1309 1639  0  2 95  2
 0  0      0 7542908    376  68516    0    0  2592  2532 1234 1436  1  2 96  2
 0  0      0 7543232    368  68672    0    0  3500  3380 1537 1764  1  2 95  1
 0  0      0 7543396    404  68320    0    0  3560  3368 1419 1980  0  3 95  1
 1  0      0 7534976    384  76764    0    0  2688  2520 7407 1604  1  5 90  5
 1  0      0 7534720    384  76896    0    0  3016  2564 1375 1627  1  2 96  1
 0  0      0 7534956    372  76672    0    0  3232  3336 1390 1755  1  3 95  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 7535072    396  76516    0    0  3592  3384 1391 1722  0  3 95  1
 0  0      0 7534940    384  76556    0    0  2688  2528 1088 1439  1  2 97  0
 0  0      0 7534920    416  76660    0    0  4352  2520 1692 1617  0  2 96  1
 0  0      0 7535180    372  76604    0    0  3544  3384 1375 1668  1  2 96  1
 1  0      0 7535064    532  76648    0    0  2840  2532 1161 1495  1  2 96  1
 1  1      0 7535172    400  76740    0    0  2708  2532 1226 1697  0  2 96  2
 0  0      0 7535024    364  76724    0    0  3548  3364 1552 1804  1  2 96  1
 1  0      0 7534628    356  76700    0    0  3196  2564 1350 1694  0  3 96  1
