date,mode,size,count,ss_span,fs,before_img_size,after_img_size,diff_img_size,mean_write_bw
2024-07-26_15-40-11,append,200KB,100,1,ext3,192248,211804,19556,
2024-07-26_15-40-11,append,400KB,100,1,ext3,192248,231356,39108,
2024-07-26_15-40-11,append,800KB,100,1,ext3,192248,270460,78212,
2024-07-26_15-40-11,append,1600KB,100,1,ext3,192248,348660,156412,
2024-07-26_15-40-11,seq,60k,100,1,ext3,192248,192312,64,62914560.000000
2024-07-26_15-40-11,seq,250k,100,1,ext3,192248,192504,256,186996049.920000
2024-07-26_15-40-11,seq,1000k,100,1,ext3,192248,193252,1004,252906321.920000
2024-07-26_15-40-11,seq,4000k,100,1,ext3,192248,196252,4004,2033759119.360000
